team,games_PY2,completion_pct_PY2,pass_ypa_PY2,pass_ypr_PY2,int_pct_PY2,rush_ypc_PY2,turnovers_pg_PY2,third_conv_rate_PY2,fourth_conv_rate_PY2,penalty_yds_pg_PY2,yards_per_penalty_PY2,kick_return_avg_PY2,punt_return_avg_PY2,total_yds_pg_PY2,pass_yds_pg_PY2,rush_yds_pg_PY2,first_downs_pg_PY2,off_ypp_PY2,def_interceptions_pg_PY2,off_ppa_PY2,off_success_rate_PY2,off_explosiveness_PY2,off_power_success_PY2,off_stuff_rate_PY2,off_line_yds_PY2,off_second_lvl_yds_PY2,off_open_field_yds_PY2,off_pts_per_opp_PY2,off_field_pos_avg_predicted_points_PY2,off_havoc_total_PY2,off_havoc_front_seven_PY2,off_havoc_db_PY2,off_standard_downs_ppa_PY2,off_standard_downs_success_rate_PY2,off_standard_downs_explosiveness_PY2,off_passing_downs_ppa_PY2,off_passing_downs_success_rate_PY2,off_passing_downs_explosiveness_PY2,off_rushing_plays_ppa_PY2,off_rushing_plays_success_rate_PY2,off_rushing_plays_explosiveness_PY2,off_passing_plays_ppa_PY2,off_passing_plays_success_rate_PY2,off_passing_plays_explosiveness_PY2,def_ppa_PY2,def_success_rate_PY2,def_explosiveness_PY2,def_power_success_PY2,def_stuff_rate_PY2,def_line_yds_PY2,def_second_lvl_yds_PY2,def_open_field_yds_PY2,def_pts_per_opp_PY2,def_field_pos_avg_predicted_points_PY2,def_havoc_total_PY2,def_havoc_front_seven_PY2,def_havoc_db_PY2,def_standard_downs_ppa_PY2,def_standard_downs_success_rate_PY2,def_standard_downs_explosiveness_PY2,def_passing_downs_ppa_PY2,def_passing_downs_success_rate_PY2,def_passing_downs_explosiveness_PY2,def_rushing_plays_ppa_PY2,def_rushing_plays_success_rate_PY2,def_rushing_plays_explosiveness_PY2,def_passing_plays_ppa_PY2,def_passing_plays_success_rate_PY2,def_passing_plays_explosiveness_PY2,recruit_pts_PY2,talent_PY2,sp_rating_PY2,sp_offense_rating_PY2,sp_defense_rating_PY2,sp_special_teams_rating_PY2,FPI_PY2,Wins_PY2,Losses_PY2
New Mexico State,12,0.6233183856502242,5.854260089686099,9.392086330935252,0.033632286995515695,4.461139896373057,2.25,0.3216374269005848,0.6153846153846154,45.333333333333336,8,12.193548387096774,9.5,361.0833333333333,217.58333333333334,143.5,19,5.2079326923076925,0.4166666666666667,0.1143216052624035,0.3942307692307692,1.2183527350175922,0.8235294117647058,0.19540229885057472,3.0235632183908048,1.1666666666666667,1.735632183908046,2.9594594594594597,1.459,0.23557692307692307,0.15384615384615385,0.08173076923076923,0.09469853480284865,0.4748603351955307,0.997064934385847,0.1500422453870847,0.24745762711864408,1.99134436736136,0.17240044792767473,0.4396551724137931,1.0144722639565666,0.07535270229139053,0.34810126582278483,1.4848630417396713,0.2845712746482382,0.4854260089686099,1.2073587141519848,0.8709677419354839,0.15725806451612903,3.404032258064516,1.3588709677419355,2.185483870967742,4,-1.439,0.15807174887892378,0.0930493273542601,0.06502242152466367,0.25174215208355394,0.5405844155844156,1.056435785777485,0.3578420699375336,0.36231884057971014,1.7099320656390693,0.3022652392585557,0.5201612903225806,1.0602423419517597,0.28289734619965795,0.4075067024128686,1.6503321764654144,108.54,143.36,-31.5,12.2,43.8,0,-22.7,2,10
Old Dominion,12,0.5461741424802111,5.58575197889182,10.227053140096618,0.0316622691292876,2.7099767981438516,1.5833333333333333,0.3114754098360656,0.6060606060606061,60.75,10.267605633802816,22.580645161290324,7.142857142857143,273.75,176.41666666666666,97.33333333333333,16.916666666666668,4.055555555555555,0.75,-0.005633168204242897,0.3508557457212714,1.2122336542738987,0.5277777777777778,0.248,2.498666666666667,0.9386666666666666,0.8,2.6031746031746033,1.481,0.2567237163814181,0.18337408312958436,0.07334963325183375,-0.07786039904625518,0.3927855711422846,1.0274851148574673,0.10734923991539387,0.2852664576802508,1.6101535853246738,0.07249308009186033,0.34933333333333333,1.1451569590680395,-0.05846143954237102,0.3294392523364486,1.451537855603399,0.1861270932405067,0.427307206068268,1.2450294490150595,0.6610169491525424,0.2834467120181406,2.340589569160998,1.054421768707483,1.1133786848072562,3.8181818181818183,-1.546,0.21744627054361568,0.14032869785082175,0.07711757269279393,0.07065211933600582,0.4540229885057471,0.9849349235553705,0.4102086411146682,0.3754646840148699,1.855350266182845,0.031649677792616,0.39909297052154197,0.9851506323696169,0.4121371477131049,0.44047619047619047,1.707043927398268,146.75,350.91,-15.9,14,29.9,0,-22.1,1,11
Connecticut,12,0.5968586387434555,6.785340314136126,11.368421052631579,0.03926701570680628,3.607476635514019,1.8333333333333333,0.2909090909090909,0.4,51.5,8.35135135135135,18.372093023255815,10.7,344.6666666666667,216,128.66666666666666,18.583333333333332,5.106172839506173,0.5833333333333334,0.04414807040070178,0.37821297429620565,1.2764981544207339,0.6,0.22588832487309646,2.8418781725888325,1.050761421319797,1.131979695431472,2.591549295774648,1.321,0.211750305997552,0.1383108935128519,0.07343941248470012,-0.004427276251416097,0.4343629343629344,1.017774633434726,0.12830201543681236,0.2809364548494983,1.9695075856332553,0.0606320320998281,0.37055837563451777,1.074841044878641,0.03302237393302,0.3704600484261501,1.5618916648890286,0.3317154922123843,0.5,1.3226013042119837,0.7758620689655172,0.13729977116704806,3.5210526315789474,1.3592677345537758,2.054919908466819,4.573170731707317,-1.34,0.15125,0.085,0.06625,0.25470738888257727,0.5346020761245674,1.1151263410871206,0.5322140675485485,0.4099099099099099,2.0271042009766296,0.35207742409295756,0.5102974828375286,1.188084516725478,0.31461804201424565,0.4789915966386555,1.5491330760983197,134.27,347.5,-22.3,17.7,40,0,-25.5,2,10
