,VoA Output,Difference from Mean,Difference from Median,Difference from Rank to Rank,"Difference from Q1, for teams in Q1","Difference from Q3, for teams in Q3",,
Buffalo,45.3478260869565,-1.1092063823857,-1.8138586956522,0.0217391304348,14.7952898550724,,,
Cal,46.5217391304348,0.0647066610926,-0.6399456521739,1.1739130434783,15.9692028985507,,,
Hawaii,46.7364130434783,0.2793805741361,-0.4252717391304,0.2146739130435,,-14.2201086956521,,
WKU,47.5869565217391,1.1299240523969,0.4252717391304,0.8505434782608,,-13.3695652173913,,
Illinois,48.4565217391304,1.9994892697882,1.2948369565217,0.8695652173913,,-12.5,,
Army,50.3913043478261,3.9342718784839,3.2296195652174,1.9347826086957,,-10.5652173913043,,
Duke,50.9130434782609,4.4560110089187,3.7513586956522,0.5217391304348,,-10.0434782608695,,
Temple,50.9565217391304,4.4994892697882,3.7948369565217,0.0434782608695,,-10,,
WMU,51.7391304347826,5.2820979654404,4.5774456521739,0.7826086956522,,-9.2173913043478,,
Marshall,51.8695652173913,5.4125327480491,4.7078804347826,0.1304347826087,,-9.0869565217391,,
Purdue,51.9565217391304,5.4994892697882,4.7948369565217,0.0869565217391,,-9,,
Tulsa,52.2391304347826,5.7820979654404,5.0774456521739,0.2826086956522,,-8.7173913043478,,
UCLA,52.3260869565217,5.8690544871795,5.164402173913,0.0869565217391,,-8.6304347826087,,
Houston,52.5869565217391,6.1299240523969,5.4252717391304,0.2608695652174,,-8.3695652173913,,
Ball St,53.2608695652174,6.8038370958752,6.0991847826087,0.6739130434783,,-7.695652173913,,
Stanford,53.5652173913043,7.1081849219621,6.4035326086956,0.3043478260869,,-7.3913043478261,,
Northwestern,53.7173913043478,7.2603588350056,6.5557065217391,0.1521739130435,,-7.2391304347826,,
CMU,53.7391304347826,7.2820979654404,6.5774456521739,0.0217391304348,,-7.2173913043478,,
Utah St,53.8695652173913,7.4125327480491,6.7078804347826,0.1304347826087,,-7.0869565217391,,
Georgia Southern,54.1521739130435,7.6951414437013,6.9904891304348,0.2826086956522,,-6.8043478260869,,
Southern Miss,54.1739130434783,7.7168805741361,7.0122282608696,0.0217391304348,,-6.7826086956521,,
Colorado,54.2826086956522,7.82557622631,7.1209239130435,0.1086956521739,,-6.6739130434782,,
Liberty,54.5434782608696,8.0864457915274,7.3817934782609,0.2608695652174,,-6.4130434782608,,
Fresno St,54.7173913043478,8.2603588350056,7.5557065217391,0.1739130434782,,-6.2391304347826,,
UAB,54.8478260869565,8.3907936176143,7.6861413043478,0.1304347826087,,-6.1086956521739,,
West Virginia,55.3260869565217,8.8690544871795,8.164402173913,0.4782608695652,,-5.6304347826087,,
Syracuse,56.1739130434783,9.7168805741361,9.0122282608696,0.8478260869566,,-4.7826086956521,,
Boston College,56.5,10.0429675306578,9.3383152173913,0.3260869565217,,-4.4565217391304,,
CSU,57.195652173913,10.7386197045708,10.0339673913043,0.695652173913,,-3.7608695652174,,
Arkansas St,57.3695652173913,10.9125327480491,10.2078804347826,0.1739130434783,,-3.5869565217391,,
Arizona,57.695652173913,11.2386197045708,10.5339673913043,0.3260869565217,,-3.2608695652174,,
Troy,59.8913043478261,13.4342718784839,12.7296195652174,2.1956521739131,,-1.0652173913043,,
Miami (OH),60,13.5429675306578,12.8383152173913,0.1086956521739,,-0.9565217391304,,
San Jose St,60.5217391304348,14.0647066610926,13.3600543478261,0.5217391304348,,-0.4347826086956,,
