team,games_PY2,Wins_PY2,Losses_PY2,completion_pct_PY2,pass_ypa_PY2,pass_ypr_PY2,int_pct_PY2,rush_ypc_PY2,turnovers_pg_PY2,third_conv_rate_PY2,fourth_conv_rate_PY2,penalty_yds_pg_PY2,yards_per_penalty_PY2,kick_return_avg_PY2,punt_return_avg_PY2,total_yds_pg_PY2,pass_yds_pg_PY2,rush_yds_pg_PY2,first_downs_pg_PY2,off_ypp_PY2,def_interceptions_pg_PY2,off_ppa_PY2,off_success_rate_PY2,off_explosiveness_PY2,off_power_success_PY2,off_stuff_rate_PY2,off_line_yds_PY2,off_second_lvl_yds_PY2,off_open_field_yds_PY2,off_pts_per_opp_PY2,off_field_pos_avg_predicted_points_PY2,off_havoc_total_PY2,off_havoc_front_seven_PY2,off_havoc_db_PY2,off_standard_downs_ppa_PY2,off_standard_downs_success_rate_PY2,off_standard_downs_explosiveness_PY2,off_passing_downs_ppa_PY2,off_passing_downs_success_rate_PY2,off_passing_downs_explosiveness_PY2,off_rushing_plays_ppa_PY2,off_rushing_plays_success_rate_PY2,off_rushing_plays_explosiveness_PY2,off_passing_plays_ppa_PY2,off_passing_plays_success_rate_PY2,off_passing_plays_explosiveness_PY2,def_ppa_PY2,def_success_rate_PY2,def_explosiveness_PY2,def_power_success_PY2,def_stuff_rate_PY2,def_line_yds_PY2,def_second_lvl_yds_PY2,def_open_field_yds_PY2,def_pts_per_opp_PY2,def_field_pos_avg_predicted_points_PY2,def_havoc_total_PY2,def_havoc_front_seven_PY2,def_havoc_db_PY2,def_standard_downs_ppa_PY2,def_standard_downs_success_rate_PY2,def_standard_downs_explosiveness_PY2,def_passing_downs_ppa_PY2,def_passing_downs_success_rate_PY2,def_passing_downs_explosiveness_PY2,def_rushing_plays_ppa_PY2,def_rushing_plays_success_rate_PY2,def_rushing_plays_explosiveness_PY2,def_passing_plays_ppa_PY2,def_passing_plays_success_rate_PY2,def_passing_plays_explosiveness_PY2,recruit_pts_PY2,talent_PY2,sp_rating_PY2,sp_offense_rating_PY2,sp_defense_rating_PY2,sp_special_teams_rating_PY2,FPI_PY2,SRS_rating_PY2
James Madison,14,12,2,0.6764705882352942,8.75,12.94,0.011312217194570135,4.21,0.8571428571428571,0.444,0.562,52.36,8.726190476190476,26.48,6.2,435.4,276.3,159.1,21.785714285714285,6.28,1.2857142857142858,0.12382132679758111,0.40811153358681873,1.2042035931318709,0.76,0.12928759894459102,3.068073878627968,1.0316622691292876,1.0474934036939314,3.873015873015873,1.478,0.14955640050697086,0.08745247148288973,0.062103929024081114,0.08503588881183606,0.4608208955223881,1.0265193141250557,0.20599126656184727,0.2964426877470356,1.7893771519943154,0.1539373338660781,0.41160949868073876,1.0503017550719085,0.12330541273029708,0.4088669950738916,1.34883423612798,0.22061422184069873,0.48623853211009177,1.0771940032342642,0.8,0.1257995735607676,3.2473347547974414,1.0405117270788913,1.0085287846481876,3.7704918032786887,-1.106,0.1341743119266055,0.08486238532110092,0.04931192660550459,0.2255318075464421,0.5630914826498423,0.9178640348949133,0.20751443470859252,0.2815126050420168,1.92616114796782,0.1719523226692179,0.4669509594882729,0.8870917640635511,0.36417765184252704,0.5269922879177378,1.2802788343483429,46.14,102.89,24.6,38.4,13.8,0,-7.926229508196721,-5.549436483082693
Sam Houston State,12,11,1,0.5811138014527845,7.63,13.14,0.026634382566585957,5.75,1.3333333333333333,0.438,0.364,61.17,9.786666666666667,18.27,9.25,490.9,262.8,228.2,24.166666666666668,6.63,1.0833333333333333,0.18661077606261642,0.4158985571690159,1.2844195678151424,0.7187822087748372,0.16561169072859963,3.043165073401354,1.071114771690695,1.2019819136140528,3.7308769188955417,1.3407704918032788,0.18325718076910327,0.11859161696513808,0.0646655638039652,0.12403530215525765,0.470960443901328,1.0467807303895826,0.3166396336381178,0.30009544527283016,2.0619615298417986,0.1400437110039598,0.42446940484900836,1.001534087190429,0.253936718942885,0.4070048307545784,1.6087093565820914,0.21189655472544427,0.42661306933437715,1.2987567056722369,0.7368732843902466,0.16208759797342062,3.089858739789263,1.0961387664214768,1.3122401412528628,3.852571935052721,-1.3771475409836065,0.1770747054048969,0.11480047813676755,0.062274227268129353,0.15264387158017892,0.48273962493883255,1.0630299684255162,0.3379463627853339,0.304985418028603,2.098385741103029,0.1633393735753912,0.4327484393773117,1.0241211857308217,0.28979924101719434,0.423055069875829,1.6090524216544237,13.67,111.5,18.2,43.2,25,0,-7.926229508196721,-5.549436483082693
Jacksonville State,11,5,6,0.5335195530726257,6.38,11.96,0.025139664804469275,4.54,1.4545454545454546,0.412,0.4,72.27,9.244186046511627,17.94,11,360.5,207.7,152.7,19.181818181818183,5.45,0.7272727272727273,0.15495011139606163,0.4019975031210986,1.248066184731484,0.7551020408163265,0.12984054669703873,2.949886104783599,0.8109339407744874,1.0250569476082005,3.8392857142857144,1.235,0.17415730337078653,0.10299625468164794,0.07116104868913857,0.10623992098662022,0.46408839779005523,1.0167331669151758,0.25746807028104884,0.2713178294573643,2.080865048870193,0.08577693491780106,0.3804100227790433,0.9555803853302021,0.3034641036369844,0.44285714285714284,1.5631960460218974,0.284953296421419,0.4712950600801068,1.280203433282313,0.8409090909090909,0.12462908011869436,3.2501483679525225,1.1661721068249258,1.4925816023738872,3.9411764705882355,-1.508,0.17757009345794392,0.10146862483311081,0.07610146862483311,0.21182754958327754,0.5056179775280899,1.0871491913984737,0.4665772443821982,0.386046511627907,1.9082112080851636,0.24031973428374287,0.47477744807121663,1.0216781431390665,0.39804164356339933,0.48370927318295737,1.4945249173388904,16.83,17.49,4,36,32,0,-7.926229508196721,-5.549436483082693
