Rank,Team,G,W-L,KO Ret,KO Ret Yds,Kick Ret TDs,Avg
103,Missouri St. (MVFC),11,1-10,25,434,0,17.36
104,Furman (SoCon),13,8-5,26,451,0,17.35
105,Austin Peay (OVC),15,11-4,41,711,0,17.34
106,Morgan St. (MEAC),12,3-9,53,901,0,17.00
106,Charleston So. (Big South),12,6-6,24,408,0,17.00
108,N.C. Central (MEAC),12,4-8,47,784,1,16.68
109,Presbyterian (Big South),12,2-10,48,795,0,16.56
110,Alcorn (SWAC),13,9-4,35,579,1,16.54
111,Jacksonville St. (OVC),12,6-6,35,568,0,16.23
112,Texas Southern (SWAC),11,0-11,37,597,0,16.14
113,Portland St. (Big Sky),12,5-7,23,371,0,16.13
114,LIU (NEC),10,0-10,44,706,0,16.05
115,Georgetown (Patriot),11,5-6,28,446,0,15.93
116,Eastern Ill. (OVC),12,1-11,35,556,0,15.89
117,Lamar University (Southland),12,4-8,29,454,0,15.66
118,Cornell (Ivy League),10,4-6,17,265,0,15.59
119,UNI (MVFC),15,10-5,20,308,0,15.40
120,Howard (MEAC),12,2-10,58,893,0,15.40
121,Bucknell (Patriot),11,3-8,21,320,0,15.24
122,South Carolina St. (MEAC),11,8-3,28,388,0,13.86
123,Grambling (SWAC),11,6-5,36,492,0,13.67
124,Harvard (Ivy League),10,4-6,16,195,0,12.19
