Rank,Team,G,W-L,Pass Att,Pass Com,Int,Pass Yds,Yds/Att,Yds/Comp,Pass TD,YPG
1,Northern Ariz. (Big Sky),12,4-8,503,301,7,"4,332",8.61,14.39,32,361
2,Southeastern La. (Southland),13,8-5,569,380,14,"4,607",8.10,12.12,35,354.4
3,Houston Baptist (Southland),12,5-7,594,371,16,"4,011",6.75,10.81,38,334.3
4,Yale (Ivy League),10,9-1,363,223,6,"3,243",8.93,14.54,29,324.3
5,Eastern Wash. (Big Sky),12,7-5,466,268,6,"3,805",8.17,14.20,32,317.1
6,UC Davis (Big Sky),12,5-7,510,331,13,"3,710",7.27,11.21,29,309.2
7,Alabama A&M (SWAC),12,7-5,453,277,11,"3,662",8.08,13.22,33,305.2
8,Montana (Big Sky),14,10-4,544,351,16,"4,221",7.76,12.03,32,301.5
9,Northwestern St. (Southland),12,3-9,557,347,15,"3,616",6.49,10.42,28,301.3
10,Brown (Ivy League),10,2-8,430,257,14,"3,011",7.00,11.72,22,301.1
11,San Diego (Pioneer),12,9-3,383,254,10,"3,571",9.32,14.06,32,297.6
12,Maine (CAA),12,6-6,392,243,11,"3,558",9.08,14.64,29,296.5
13,Rhode Island (CAA),12,2-10,505,296,13,"3,555",7.04,12.01,24,296.3
14,Jacksonville St. (OVC),12,6-6,455,266,12,"3,552",7.81,13.35,29,296
15,Sacramento St. (Big Sky),13,9-4,524,309,11,"3,832",7.31,12.40,32,294.8
16,Central Ark. (Southland),13,9-4,498,320,16,"3,807",7.64,11.90,35,292.8
17,Florida A&M (MEAC),11,9-2,406,253,9,"3,202",7.89,12.66,30,291.1
18,VMI (SoCon),12,5-7,507,321,6,"3,439",6.78,10.71,20,286.6
19,UIW (Southland),12,5-7,523,303,9,"3,421",6.54,11.29,22,285.1
20,Ark.-Pine Bluff (SWAC),11,6-5,342,205,17,"3,105",9.08,15.15,28,282.3
21,Sam Houston (Southland),12,7-5,466,256,16,"3,373",7.24,13.18,24,281.1
22,Southern Utah (Big Sky),12,3-9,459,302,13,"3,256",7.09,10.78,19,271.3
23,Monmouth (Big South),14,11-3,460,296,9,"3,748",8.15,12.66,30,267.7
24,Prairie View (SWAC),11,6-5,336,196,12,"2,934",8.73,14.97,25,266.7
25,Texas Southern (SWAC),11,0-11,417,250,13,"2,925",7.01,11.70,14,265.9
26,North Dakota (FCS Independent),12,7-5,470,298,13,"3,145",6.69,10.55,21,262.1
27,Saint Francis (PA) (NEC),12,6-6,415,259,6,"3,131",7.54,12.09,28,260.9
28,Villanova (CAA),13,9-4,405,242,10,"3,390",8.37,14.01,37,260.8
29,Tennessee St. (OVC),12,3-9,409,250,11,"3,128",7.65,12.51,15,260.7
30,Princeton (Ivy League),10,8-2,318,211,6,"2,605",8.19,12.35,21,260.5
31,Murray St. (OVC),12,4-8,463,294,14,"3,108",6.71,10.57,22,259
32,Portland St. (Big Sky),12,5-7,387,220,9,"3,081",7.96,14.00,28,256.8
33,UAlbany (CAA),14,9-5,472,265,11,"3,589",7.60,13.54,41,256.4
34,SFA (Southland),12,3-9,470,256,15,"3,050",6.49,11.91,16,254.2
35,Alcorn (SWAC),13,9-4,404,241,10,"3,275",8.11,13.59,34,251.9
36,Penn (Ivy League),10,5-5,345,203,6,"2,490",7.22,12.27,18,249
37,South Dakota (MVFC),12,5-7,421,273,13,"2,982",7.08,10.92,27,248.5
38,Northern Colo. (Big Sky),12,2-10,424,258,13,"2,976",7.02,11.53,16,248
