Rank,Team,G,W-L,Pass Att,Pass Com,Int,Pass Yds,Yds/Att,Yds/Comp,Pass TD,YPG
39,Dayton (Pioneer),11,8-3,307,193,5,"2,716",8.85,14.07,33,246.9
40,Abilene Christian (Southland),12,5-7,476,296,15,"2,925",6.14,9.88,20,243.8
41,Towson (CAA),12,7-5,369,220,6,"2,898",7.85,13.17,22,241.5
42,Austin Peay (OVC),15,11-4,463,269,16,"3,594",7.76,13.36,32,239.6
43,Samford (SoCon),12,5-7,415,248,14,"2,870",6.92,11.57,24,239.2
44,Morehead St. (Pioneer),12,5-7,388,226,16,"2,867",7.39,12.69,23,238.9
45,Tennessee Tech (OVC),12,6-6,404,252,11,"2,861",7.08,11.35,24,238.4
46,Hampton (Big South),12,5-7,395,227,15,"2,820",7.14,12.42,29,235
47,Harvard (Ivy League),10,4-6,290,173,10,"2,343",8.08,13.54,19,234.3
48,Lehigh (Patriot),11,4-7,397,213,11,"2,567",6.47,12.05,9,233.4
49,Cornell (Ivy League),10,4-6,318,187,13,"2,327",7.32,12.44,9,232.7
50,Marist (Pioneer),11,4-7,364,211,15,"2,552",7.01,12.09,11,232
51,Norfolk St. (MEAC),12,5-7,356,205,8,"2,759",7.75,13.46,24,229.9
52,Idaho St. (Big Sky),12,3-9,399,206,18,"2,733",6.85,13.27,21,227.8
52,Idaho (Big Sky),12,5-7,384,240,12,"2,733",7.12,11.39,20,227.8
54,South Carolina St. (MEAC),11,8-3,318,159,9,"2,483",7.81,15.62,22,225.7
55,Richmond (CAA),12,5-7,332,215,12,"2,708",8.16,12.60,15,225.7
56,Fordham (Patriot),12,4-8,400,234,11,"2,687",6.72,11.48,20,223.9
57,James Madison (CAA),16,14-2,401,283,6,"3,566",8.89,12.60,33,222.9
58,UT Martin (OVC),12,7-5,347,198,10,"2,667",7.69,13.47,19,222.3
58,Lafayette (Patriot),12,4-8,378,226,14,"2,667",7.06,11.80,14,222.3
60,Gardner-Webb (Big South),12,3-9,380,221,12,"2,666",7.02,12.06,25,222.2
61,McNeese (Southland),12,7-5,353,204,9,"2,636",7.47,12.92,24,219.7
62,Stony Brook (CAA),12,5-7,331,165,12,"2,613",7.89,15.84,17,217.8
63,Mercer (SoCon),12,4-8,395,221,17,"2,599",6.58,11.76,22,216.6
64,Dartmouth (Ivy League),10,9-1,232,158,5,"2,154",9.28,13.63,22,215.4
65,Nicholls (Southland),14,9-5,342,230,12,"2,997",8.76,13.03,17,214.1
66,Alabama St. (SWAC),11,5-6,352,203,16,"2,333",6.63,11.49,22,212.1
67,Missouri St. (MVFC),11,1-10,403,229,10,"2,311",5.73,10.09,16,210.1
68,Holy Cross (Patriot),13,7-6,404,212,9,"2,729",6.75,12.87,17,209.9
69,Charleston So. (Big South),12,6-6,413,235,15,"2,505",6.07,10.66,18,208.8
70,Stetson (Pioneer),11,7-4,380,214,10,"2,293",6.03,10.71,21,208.5
71,Sacred Heart (NEC),12,7-5,331,187,9,"2,499",7.55,13.36,21,208.3
72,N.C. A&T (MEAC),12,9-3,319,175,4,"2,496",7.82,14.26,21,208
73,Western Ill. (MVFC),12,1-11,428,258,14,"2,471",5.77,9.58,19,205.9
74,Southeast Mo. St. (OVC),13,9-4,376,209,14,"2,639",7.02,12.63,18,203
75,Central Conn. St. (NEC),13,11-2,276,178,5,"2,622",9.50,14.73,20,201.7
76,Elon (CAA),11,5-6,318,185,7,"2,212",6.96,11.96,16,201.1
77,Jackson St. (SWAC),12,4-8,359,189,13,"2,408",6.71,12.74,22,200.7
78,Bucknell (Patriot),11,3-8,426,229,10,"2,187",5.13,9.55,10,198.8
78,Grambling (SWAC),11,6-5,348,209,9,"2,187",6.28,10.46,15,198.8
80,Drake (Pioneer),11,6-5,308,183,14,"2,165",7.03,11.83,21,196.8
81,Georgetown (Patriot),11,5-6,286,172,7,"2,157",7.54,12.54,15,196.1
82,South Dakota St. (MVFC),13,8-5,294,185,7,"2,544",8.65,13.75,21,195.7
83,Morgan St. (MEAC),12,3-9,312,164,18,"2,338",7.49,14.26,16,194.8
84,New Hampshire (CAA),11,6-5,339,194,14,"2,140",6.31,11.03,12,194.5
85,Chattanooga (SoCon),12,6-6,340,180,12,"2,306",6.78,12.81,15,192.2
86,Youngstown St. (MVFC),12,6-6,297,166,8,"2,289",7.71,13.79,21,190.8
87,Lamar University (Southland),12,4-8,339,185,9,"2,288",6.75,12.37,8,190.7
88,Delaware (CAA),12,5-7,321,188,9,"2,273",7.08,12.09,20,189.4
89,Campbell (Big South),11,6-5,276,152,10,"2,082",7.54,13.70,18,189.3
90,Weber St. (Big Sky),15,11-4,447,266,11,"2,829",6.33,10.64,21,188.6
91,Columbia (Ivy League),10,3-7,318,187,11,"1,882",5.92,10.06,11,188.2
92,UNI (MVFC),15,10-5,384,203,8,"2,778",7.23,13.68,20,185.2
93,Southern Ill. (MVFC),12,7-5,271,171,10,"2,222",8.20,12.99,18,185.2
94,N.C. Central (MEAC),12,4-8,382,194,10,"2,197",5.75,11.32,13,183.1
95,North Dakota St. (MVFC),16,16-0,304,202,1,"2,911",9.58,14.41,29,181.9
96,Wagner (NEC),12,1-11,382,221,13,"2,162",5.66,9.78,10,180.2
97,Western Caro. (SoCon),12,3-9,325,207,11,"2,142",6.59,10.35,12,178.5
98,Southern U. (SWAC),13,8-5,345,206,14,"2,273",6.59,11.03,17,174.8
99,Howard (MEAC),12,2-10,353,188,13,"2,088",5.92,11.11,15,174
100,Bryant (NEC),12,4-8,385,219,10,"2,053",5.33,9.37,8,171.1
101,Eastern Ill. (OVC),12,1-11,449,228,12,"2,048",4.56,8.98,11,170.7
102,Duquesne (NEC),11,6-5,303,162,15,"1,877",6.19,11.59,15,170.6
103,Colgate (Patriot),12,4-8,322,188,7,"2,036",6.32,10.83,7,169.7
104,Montana St. (Big Sky),15,11-4,380,225,5,"2,527",6.65,11.23,20,168.5
105,Indiana St. (MVFC),12,5-7,307,195,10,"2,001",6.52,10.26,10,166.8
106,Bethune-Cookman (MEAC),11,7-4,278,150,6,"1,806",6.50,12.04,11,164.2
107,ETSU (SoCon),12,3-9,317,177,7,"1,968",6.21,11.12,13,164
108,Presbyterian (Big South),12,2-10,334,185,15,"1,953",5.85,10.56,11,162.8
109,Valparaiso (Pioneer),12,1-11,387,180,20,"1,951",5.04,10.84,12,162.6
110,Eastern Ky. (OVC),12,7-5,331,175,13,"1,904",5.75,10.88,9,158.7
111,Robert Morris (NEC),12,7-5,263,139,9,"1,902",7.23,13.68,16,158.5
112,Butler (Pioneer),12,3-9,334,183,11,"1,868",5.59,10.21,8,155.7
113,William & Mary (CAA),12,5-7,276,141,10,"1,859",6.74,13.18,9,154.9
114,Furman (SoCon),13,8-5,249,131,7,"1,880",7.55,14.35,16,144.6
115,Delaware St. (MEAC),12,2-10,317,145,12,"1,720",5.43,11.86,12,143.3
116,LIU (NEC),10,0-10,240,123,11,"1,396",5.82,11.35,5,139.6
117,Cal Poly (Big Sky),11,3-8,131,74,5,"1,340",10.23,18.11,14,121.8
118,Illinois St. (MVFC),15,10-5,268,132,15,"1,767",6.59,13.39,10,117.8
119,Mississippi Val. (SWAC),11,2-9,341,154,9,"1,231",3.61,7.99,11,111.9
120,Davidson (Pioneer),12,8-4,144,72,5,"1,335",9.27,18.54,12,111.3
121,Wofford (SoCon),12,8-4,151,84,6,"1,290",8.54,15.36,8,107.5
122,The Citadel (SoCon),12,6-6,128,65,5,"1,195",9.34,18.38,14,99.6
123,Jacksonville (Pioneer),12,3-9,110,53,5,984,8.95,18.57,8,82
124,Kennesaw St. (Big South),14,11-3,117,52,4,"1,114",9.52,21.42,11,79.6
