Rank,Team,G,W-L,TOP,AvgTOP
1,Central Conn. St. (NEC),11,4-7,378:21,34:24
2,Alcorn (SWAC),11,6-5,371:42,33:47
3,The Citadel (SoCon),11,4-7,370:47,33:42
4,San Diego (Pioneer),11,7-4,369:27,33:35
5,Norfolk St. (MEAC),11,6-5,369:09,33:34
6,Kennesaw St. (Big South),13,11-2,434:42,33:26
7,Davidson (Pioneer),11,8-3,365:54,33:16
8,Southeastern La. (Southland),13,9-4,430:19,33:06
9,Nicholls (Southland),11,6-5,363:04,33:00
10,Alabama St. (SWAC),11,5-6,362:07,32:55
11,Sacramento St. (Big Sky),12,9-3,394:58,32:55
12,Yale (Ivy League),10,5-5,328:55,32:54
13,Holy Cross (Patriot),13,10-3,423:52,32:36
14,Bryant (NEC),11,7-4,357:58,32:33
15,Delaware St. (MEAC),11,5-6,357:12,32:28
16,Tennessee Tech (OVC),11,3-8,357:03,32:28
17,Chattanooga (SoCon),11,6-5,355:12,32:17
18,North Dakota St. (MVFC),15,14-1,484:20,32:17
19,Alabama A&M (SWAC),10,7-3,322:46,32:17
20,Princeton (Ivy League),10,9-1,321:35,32:10
21,Monmouth (Big South),11,7-4,352:53,32:05
22,Florida A&M (SWAC),12,9-3,384:22,32:02
23,ETSU (SoCon),13,11-2,415:55,32:00
24,Portland St. (Big Sky),11,5-6,351:44,31:59
25,Stony Brook (CAA),11,5-6,351:41,31:58
26,North Dakota (MVFC),11,5-6,350:26,31:51
27,UT Martin (OVC),13,10-3,413:55,31:50
28,Youngstown St. (MVFC),10,3-7,317:56,31:48
29,Sacred Heart (NEC),12,8-4,381:08,31:46
30,Duquesne (NEC),10,7-3,317:32,31:45
31,Missouri St. (MVFC),12,8-4,379:10,31:36
32,McNeese (Southland),11,4-7,346:00,31:27
33,Tennessee St. (OVC),11,5-6,345:50,31:26
34,Presbyterian (Pioneer),11,2-9,344:14,31:18
35,Dayton (Pioneer),10,6-4,312:24,31:14
36,Butler (Pioneer),11,3-8,343:06,31:11
37,Sam Houston (ASUN),12,11-1,374:13,31:11
38,SFA (ASUN),12,8-4,374:13,31:11
39,Northwestern St. (Southland),11,3-8,342:45,31:10
40,James Madison (CAA),14,12-2,435:03,31:04
41,South Dakota St. (MVFC),15,11-4,465:55,31:04
42,Weber St. (Big Sky),11,6-5,341:26,31:02
43,Dartmouth (Ivy League),10,9-1,309:22,30:56
44,Northern Colo. (Big Sky),11,3-8,340:18,30:56
45,Prairie View (SWAC),12,7-5,370:49,30:54
46,South Carolina St. (MEAC),12,7-5,370:38,30:53
47,Wagner (NEC),11,0-11,339:27,30:52
48,Southern Utah (Big Sky),11,1-10,338:36,30:47
49,Mississippi Val. (SWAC),11,4-7,337:37,30:42
50,Elon (CAA),11,6-5,337:04,30:39
51,Towson (CAA),11,4-7,336:30,30:35
52,Murray St. (OVC),11,6-5,336:28,30:35
53,Valparaiso (Pioneer),11,4-7,336:27,30:35
54,UAlbany (CAA),11,2-9,335:52,30:32
55,Southern U. (SWAC),11,4-7,335:40,30:31
56,Robert Morris (Big South),10,4-6,304:11,30:25
57,Harvard (Ivy League),10,8-2,303:37,30:22
58,Southeast Mo. St. (OVC),11,4-7,333:56,30:21
59,Hampton (Big South),11,5-6,333:12,30:17
60,Lamar University (ASUN),10,1-9,302:48,30:17
61,N.C. A&T (Big South),11,5-6,333:00,30:16
62,Furman (SoCon),11,6-5,332:44,30:15
63,Montana St. (Big Sky),15,12-3,453:09,30:13
64,Idaho St. (Big Sky),11,1-10,332:18,30:13
65,Delaware (CAA),11,5-6,332:14,30:12
66,Villanova (CAA),13,10-3,391:30,30:07
67,Western Ill. (MVFC),11,2-9,331:11,30:06
68,Mercer (SoCon),10,7-3,300:19,30:02
69,Eastern Ky. (ASUN),11,7-4,329:19,29:56
70,Richmond (CAA),11,6-5,329:00,29:55
71,VMI (SoCon),11,6-5,328:57,29:54
72,Colgate (Patriot),11,5-6,328:39,29:53
73,South Dakota (MVFC),12,7-5,358:25,29:52
74,Cornell (Ivy League),10,2-8,298:32,29:51
75,Lafayette (Patriot),11,3-8,327:11,29:45
76,Brown (Ivy League),10,2-8,297:03,29:42
77,William & Mary (CAA),11,6-5,325:44,29:37
78,Maine (CAA),11,6-5,325:12,29:34
79,UNI (MVFC),12,6-6,354:05,29:30
80,Idaho (Big Sky),11,4-7,324:27,29:30
81,Abilene Christian (ASUN),11,5-6,324:18,29:29
82,Jackson St. (SWAC),13,11-2,381:55,29:23
83,Campbell (Big South),11,3-8,322:18,29:18
84,LIU (NEC),10,2-8,291:16,29:08
85,Central Ark. (ASUN),11,5-6,320:19,29:07
86,Wofford (SoCon),11,1-10,318:15,28:56
87,Western Caro. (SoCon),11,4-7,317:27,28:52
88,Jacksonville St. (ASUN),11,5-6,317:16,28:51
89,Lehigh (Patriot),11,3-8,316:59,28:49
90,Eastern Wash. (Big Sky),13,10-3,374:13,28:47
91,Eastern Ill. (OVC),11,1-10,315:51,28:43
92,Georgetown (Patriot),10,2-8,286:54,28:41
93,Montana (Big Sky),13,10-3,372:21,28:39
94,Penn (Ivy League),10,3-7,286:21,28:38
95,Morehead St. (Pioneer),11,7-4,314:37,28:36
96,Indiana St. (MVFC),11,5-6,314:31,28:36
97,N.C. Central (MEAC),11,6-5,313:55,28:32
98,UC Davis (Big Sky),12,8-4,341:20,28:27
99,Drake (Pioneer),10,2-8,284:02,28:24
100,Northern Ariz. (Big Sky),11,5-6,312:02,28:22
101,Bucknell (Patriot),11,1-10,311:15,28:18
102,Charleston So. (Big South),10,4-6,279:26,27:57
103,Morgan St. (MEAC),11,2-9,306:17,27:51
104,Illinois St. (MVFC),11,4-7,305:58,27:49
105,Marist (Pioneer),10,5-5,277:46,27:47
106,Stetson (Pioneer),10,3-7,277:28,27:45
107,Austin Peay (OVC),11,6-5,304:37,27:42
108,Columbia (Ivy League),10,7-3,276:48,27:41
109,Rhode Island (CAA),11,7-4,304:06,27:39
110,Grambling (SWAC),11,4-7,303:01,27:33
111,Gardner-Webb (Big South),11,4-7,299:19,27:13
112,Ark.-Pine Bluff (SWAC),11,2-9,298:37,27:09
113,UIW (Southland),13,10-3,349:41,26:54
114,Southern Ill. (MVFC),13,8-5,348:45,26:50
115,New Hampshire (CAA),11,3-8,294:18,26:45
116,Cal Poly (Big Sky),11,2-9,291:09,26:28
117,Saint Francis (PA) (NEC),11,5-6,290:17,26:23
118,Bethune-Cookman (SWAC),11,2-9,289:38,26:20
119,Howard (MEAC),11,3-8,286:56,26:05
120,Texas Southern (SWAC),10,2-8,252:19,25:14
121,Houston Baptist (Southland),11,0-11,272:46,24:48
122,Fordham (Patriot),11,6-5,267:52,24:21
123,Samford (SoCon),11,4-7,257:51,23:26
