Rank,Team,G,W-L,Fum Lost,Int,Turn Lost
1,Montana (Big Sky),2,2-0,0,1,1
1,New Hampshire (CAA),1,0-1,1,0,1
1,Portland St. (Big Sky),1,0-1,0,1,1
4,Villanova (CAA),4,2-2,0,2,2
5,Houston Baptist (Southland),4,1-3,1,2,3
5,Monmouth (Big South),4,3-1,1,2,3
7,Cal Poly (Big Sky),3,0-3,1,3,4
7,Lafayette (Patriot),3,2-1,0,4,4
7,Northern Ariz. (Big Sky),5,3-2,0,4,4
7,Rhode Island (CAA),3,2-1,1,3,4
7,Richmond (CAA),4,3-1,3,1,4
7,Robert Morris (Big South),3,0-3,2,2,4
7,William & Mary (CAA),3,1-2,3,1,4
14,Alabama A&M (SWAC),4,4-0,1,4,5
14,Campbell (Big South),4,0-4,2,3,5
14,Charleston So. (Big South),4,2-2,1,4,5
14,Chattanooga (SoCon),5,3-2,1,4,5
14,Fordham (Patriot),3,2-1,2,3,5
14,Howard (MEAC),2,0-2,3,2,5
14,LIU (NEC),4,2-2,3,2,5
14,Lehigh (Patriot),3,0-3,4,1,5
14,Maine (CAA),4,2-2,4,1,5
14,Tennessee St. (OVC),7,2-5,1,4,5
14,Texas Southern (SWAC),2,0-2,3,2,5
14,Wagner (NEC),2,0-2,2,3,5
26,Bryant (NEC),4,2-2,2,4,6
26,Davidson (Pioneer),7,4-3,3,3,6
26,Grambling (SWAC),4,0-4,3,3,6
26,Holy Cross (Patriot),4,3-1,4,2,6
26,Kennesaw St. (Big South),5,4-1,4,2,6
26,Murray St. (OVC),7,5-2,1,5,6
26,Sacred Heart (NEC),5,3-2,2,4,6
26,South Dakota (MVFC),4,1-3,2,4,6
26,Southern Utah (Big Sky),6,1-5,3,3,6
26,UNI (MVFC),7,3-4,3,3,6
26,Wofford (SoCon),5,1-4,2,4,6
37,Delaware (CAA),8,7-1,3,4,7
37,Idaho (Big Sky),6,2-4,1,6,7
37,Jackson St. (SWAC),6,3-3,3,4,7
37,Stony Brook (CAA),4,1-3,4,3,7
37,UC Davis (Big Sky),5,3-2,2,5,7
42,UAlbany (CAA),4,1-3,3,5,8
42,Colgate (Patriot),2,0-2,2,6,8
42,Delaware St. (MEAC),5,2-3,3,5,8
42,Drake (Pioneer),5,2-3,3,5,8
42,Weber St. (Big Sky),6,5-1,5,3,8
47,Bucknell (Patriot),4,2-2,1,8,9
47,Duquesne (NEC),5,4-1,5,4,9
47,Lamar University (Southland),6,2-4,3,6,9
47,McNeese (Southland),7,3-4,6,3,9
47,North Dakota (MVFC),7,5-2,4,5,9
47,South Carolina St. (MEAC),4,3-1,3,6,9
47,Southeastern La. (Southland),7,4-3,5,4,9
47,Stetson (Pioneer),4,0-4,1,8,9
47,VMI (SoCon),8,6-2,3,6,9
47,Valparaiso (Pioneer),6,4-2,4,5,9
47,Western Ill. (MVFC),6,1-5,3,6,9
58,Abilene Christian (Southland),6,1-5,6,4,10
58,ETSU (SoCon),6,4-2,6,4,10
58,Eastern Wash. (Big Sky),7,5-2,3,7,10
58,Elon (CAA),6,1-5,3,7,10
58,Mississippi Val. (SWAC),3,0-3,8,2,10
58,Prairie View (SWAC),3,2-1,4,6,10
58,Samford (SoCon),7,4-3,3,7,10
58,South Dakota St. (MVFC),10,8-2,6,4,10
58,Southern U. (SWAC),5,4-1,4,6,10
58,Western Caro. (SoCon),9,1-8,2,8,10
58,Youngstown St. (MVFC),7,1-6,6,4,10
69,Alabama St. (SWAC),5,2-3,5,6,11
69,Ark.-Pine Bluff (SWAC),5,4-1,5,6,11
69,Illinois St. (MVFC),4,1-3,5,6,11
69,Morehead St. (Pioneer),7,4-3,4,7,11
69,Northwestern St. (Southland),6,1-5,4,7,11
69,UIW (Southland),6,3-3,7,4,11
75,Gardner-Webb (Big South),4,2-2,4,8,12
75,Idaho St. (Big Sky),6,2-4,2,10,12
75,James Madison (CAA),8,7-1,5,7,12
78,Butler (Pioneer),6,0-6,5,8,13
78,Eastern Ill. (OVC),6,1-5,5,8,13
78,Nicholls (Southland),7,4-3,6,7,13
78,Presbyterian (Pioneer),7,4-3,7,6,13
78,SFA (Southland),10,6-4,6,7,13
78,UT Martin (OVC),7,3-4,6,7,13
84,Austin Peay (OVC),9,4-5,6,8,14
84,Furman (SoCon),7,3-4,4,10,14
86,Eastern Ky. (OVC),9,3-6,6,9,15
86,Southeast Mo. St. (OVC),8,4-4,6,9,15
88,North Dakota St. (MVFC),10,7-3,6,10,16
88,Sam Houston (Southland),10,10-0,6,10,16
90,Mercer (SoCon),11,5-6,9,8,17
90,San Diego (Pioneer),6,4-2,6,11,17
90,Tennessee Tech (OVC),7,2-5,6,11,17
93,Central Ark. (Southland),9,5-4,7,12,19
93,Missouri St. (MVFC),10,5-5,9,10,19
95,Jacksonville St. (OVC),13,10-3,10,11,21
96,Southern Ill. (MVFC),10,6-4,9,13,22
97,The Citadel (SoCon),12,2-10,18,8,26
