team,conference,vs FBS/FCS,SP+,rank,pctile,Off. SP+,rank,Def. SP+,rank
Abilene Christian,A-Sun/WAC,3-6,-5.5,82,32.2%,20.2,100,25.7,59
Hampton,Big South,4-6,-5.7,83,31.9%,30.2,44,35.9,105
Alabama A&M,SWAC,5-4,-6.2,84,30.3%,38.1,16,44.2,123
San Diego,Pioneer,7-4,-6.5,85,29.4%,15.9,115,22.3,41
St. Thomas,Pioneer,6-3,-6.7,86,28.8%,12.8,120,30.4,84
Northwestern State,Southland,3-8,-6.9,87,28.3%,15.8,116,22.7,42
Idaho State,Big Sky,1-10,-7.2,88,27.5%,15.7,117,22.8,43
Alabama State,SWAC,4-5,-7.4,89,26.8%,24.9,73,32.3,93
Southern U.,SWAC,3-7,-7.6,90,26.3%,27.2,53,34.8,101
Norfolk State,MEAC,4-5,-7.9,91,25.5%,31.5,38,39.4,112
Wofford,Southern,1-10,-8.0,92,25.3%,19.9,101,27.9,76
The Citadel,Southern,3-7,-8.1,93,24.8%,25.1,72,33.2,97
Eastern Illinois,OVC,1-10,-8.7,94,23.3%,12.5,122,21.2,39
Central Connecticut,NEC,4-6,-8.9,95,22.8%,21.9,87,30.9,86
Colgate,Patriot,5-6,-9.0,96,22.6%,19.7,102,28.7,80
Tennessee State,OVC,4-6,-9.2,97,22.2%,16.6,113,25.8,62
Dayton,Pioneer,6-4,-9.4,98,21.6%,30.8,41,40.2,115
Grambling,SWAC,4-7,-9.9,99,20.5%,17.2,110,27.1,70
Merrimack,NEC,4-6,-10.1,100,20.1%,17.2,109,27.3,72
Lafayette,Patriot,3-8,-10.1,101,19.9%,10.7,124,20.8,34
Robert Morris,Big South,4-6,-10.2,102,19.6%,22.2,83,32.4,94
NC Central,MEAC,5-5,-10.4,103,19.4%,16.0,114,26.4,65
Bethune-Cookman,SWAC,2-9,-10.7,104,18.6%,26.6,59,37.3,108
Southern Utah,Big Sky,0-11,-10.7,105,18.6%,21.6,91,32.3,92
Morehead State,Pioneer,6-4,-11.1,106,17.7%,23.7,77,34.8,102
Cal Poly,Big Sky,2-9,-11.5,107,16.9%,26.8,58,38.3,110
Tennessee Tech,OVC,2-8,-12.1,108,15.6%,20.8,97,32.9,96
Marist,Pioneer,5-5,-12.2,109,15.4%,14.3,118,26.5,66
Lehigh,Patriot,3-8,-12.4,110,15.0%,18.2,105,30.6,85
Valparaiso,Pioneer,4-6,-12.7,111,14.4%,17.0,112,29.8,83
MVSU,SWAC,4-7,-12.7,112,14.4%,12.5,121,25.2,57
Houston Baptist,Southland,0-11,-13.7,113,12.6%,21.9,88,35.6,104
Texas Southern,SWAC,2-8,-14.7,114,11.0%,29.6,46,44.3,124
Delaware State,MEAC,3-6,-15.2,115,10.2%,13.0,119,28.3,78
Dixie State,A-Sun/WAC,0-10,-15.7,116,9.5%,20.5,99,36.2,107
Lamar,A-Sun/WAC,1-9,-16.7,117,8.2%,25.9,67,42.6,120
Howard,MEAC,2-8,-16.7,118,8.1%,17.1,111,33.9,99
Drake,Pioneer,1-8,-16.9,119,7.9%,9.7,126,26.6,69
Morgan State,MEAC,2-9,-16.9,120,7.9%,10.4,125,27.4,73
UAPB,SWAC,1-9,-17.9,121,6.8%,27.1,54,44.9,126
Georgetown,Patriot,2-8,-19.0,122,5.7%,5.9,128,24.9,53
Long Island,NEC,2-8,-20.8,123,4.1%,22.5,81,43.3,122
Bucknell,Patriot,1-10,-21.2,124,3.9%,18.6,104,39.8,114
Wagner,NEC,0-11,-21.9,125,3.4%,21.2,95,43.1,121
Stetson,Pioneer,1-7,-22.0,126,3.3%,22.5,80,44.5,125
Butler,Pioneer,1-8,-23.3,127,2.6%,22.1,85,45.4,127
Presbyterian,Pioneer,0-9,-29.1,128,0.8%,25.9,68,55.0,128
