Rank,Team,G,W-L,Fum Lost,Int,Turn Lost
1,North Dakota St. (MVFC),16,16-0,5,1,6
2,Bethune-Cookman (MEAC),11,7-4,3,6,9
2,Princeton (Ivy League),10,8-2,3,6,9
4,Yale (Ivy League),10,9-1,4,6,10
4,Wofford (SoCon),12,8-4,4,6,10
6,Dayton (Pioneer),11,8-3,6,5,11
7,Sacred Heart (NEC),12,7-5,3,9,12
7,Penn (Ivy League),10,5-5,6,6,12
7,Dartmouth (Ivy League),10,9-1,7,5,12
7,Monmouth (Big South),14,11-3,3,9,12
7,Elon (CAA),11,5-6,5,7,12
7,Montana St. (Big Sky),15,11-4,7,5,12
13,N.C. A&T (MEAC),12,9-3,9,4,13
13,Central Conn. St. (NEC),13,11-2,8,5,13
13,Eastern Wash. (Big Sky),12,7-5,7,6,13
16,Northern Ariz. (Big Sky),12,4-8,7,7,14
16,Mississippi Val. (SWAC),11,2-9,5,9,14
16,Cal Poly (Big Sky),11,3-8,9,5,14
16,Kennesaw St. (Big South),14,11-3,10,4,14
16,Florida A&M (MEAC),11,9-2,5,9,14
16,Youngstown St. (MVFC),12,6-6,6,8,14
22,Norfolk St. (MEAC),12,5-7,7,8,15
22,Weber St. (Big Sky),15,11-4,4,11,15
22,The Citadel (SoCon),12,6-6,10,5,15
22,Colgate (Patriot),12,4-8,8,7,15
22,Harvard (Ivy League),10,4-6,5,10,15
27,UT Martin (OVC),12,7-5,6,10,16
27,South Carolina St. (MEAC),11,8-3,7,9,16
27,San Diego (Pioneer),12,9-3,6,10,16
27,Saint Francis (PA) (NEC),12,6-6,10,6,16
27,Portland St. (Big Sky),12,5-7,7,9,16
27,Furman (SoCon),13,8-5,9,7,16
27,Eastern Ky. (OVC),12,7-5,3,13,16
27,Drake (Pioneer),11,6-5,2,14,16
27,Delaware (CAA),12,5-7,7,9,16
27,Davidson (Pioneer),12,8-4,11,5,16
27,James Madison (CAA),16,14-2,10,6,16
27,Villanova (CAA),13,9-4,6,10,16
39,Tennessee Tech (OVC),12,6-6,6,11,17
39,Robert Morris (NEC),12,7-5,8,9,17
39,UIW (Southland),12,5-7,8,9,17
39,McNeese (Southland),12,7-5,8,9,17
39,Bryant (NEC),12,4-8,7,10,17
39,VMI (SoCon),12,5-7,11,6,17
39,ETSU (SoCon),12,3-9,10,7,17
39,Grambling (SWAC),11,6-5,8,9,17
39,Fordham (Patriot),12,4-8,6,11,17
39,Campbell (Big South),11,6-5,7,10,17
49,Towson (CAA),12,7-5,12,6,18
49,Southern Ill. (MVFC),12,7-5,8,10,18
49,Bucknell (Patriot),11,3-8,8,10,18
49,Jacksonville (Pioneer),12,3-9,13,5,18
49,Butler (Pioneer),12,3-9,7,11,18
49,Sacramento St. (Big Sky),13,9-4,7,11,18
55,Stony Brook (CAA),12,5-7,7,12,19
55,Stetson (Pioneer),11,7-4,9,10,19
55,Southeast Mo. St. (OVC),13,9-4,5,14,19
55,UNI (MVFC),15,10-5,11,8,19
55,Georgetown (Patriot),11,5-6,12,7,19
55,Delaware St. (MEAC),12,2-10,7,12,19
55,Cornell (Ivy League),10,4-6,6,13,19
55,Hampton (Big South),12,5-7,4,15,19
55,Maine (CAA),12,6-6,8,11,19
64,LIU (NEC),10,0-10,9,11,20
64,Chattanooga (SoCon),12,6-6,8,12,20
64,Southern Utah (Big Sky),12,3-9,7,13,20
64,Prairie View (SWAC),11,6-5,8,12,20
64,Northwestern St. (Southland),12,3-9,5,15,20
64,N.C. Central (MEAC),12,4-8,10,10,20
64,New Hampshire (CAA),11,6-5,6,14,20
64,William & Mary (CAA),12,5-7,10,10,20
64,Western Caro. (SoCon),12,3-9,9,11,20
64,Columbia (Ivy League),10,3-7,9,11,20
64,Lafayette (Patriot),12,4-8,6,14,20
64,UC Davis (Big Sky),12,5-7,7,13,20
64,Austin Peay (OVC),15,11-4,4,16,20
64,Abilene Christian (Southland),12,5-7,5,15,20
78,Brown (Ivy League),10,2-8,7,14,21
78,Howard (MEAC),12,2-10,8,13,21
78,Jackson St. (SWAC),12,4-8,8,13,21
78,Missouri St. (MVFC),11,1-10,11,10,21
78,Lehigh (Patriot),11,4-7,10,11,21
78,Eastern Ill. (OVC),12,1-11,9,12,21
84,Tennessee St. (OVC),12,3-9,11,11,22
84,UAlbany (CAA),14,9-5,11,11,22
84,Charleston So. (Big South),12,6-6,7,15,22
84,Holy Cross (Patriot),13,7-6,13,9,22
84,Idaho (Big Sky),12,5-7,10,12,22
84,Idaho St. (Big Sky),12,3-9,4,18,22
84,Jacksonville St. (OVC),12,6-6,10,12,22
84,Wagner (NEC),12,1-11,9,13,22
84,Marist (Pioneer),11,4-7,7,15,22
84,Murray St. (OVC),12,4-8,8,14,22
84,Ark.-Pine Bluff (SWAC),11,6-5,5,17,22
84,Rhode Island (CAA),12,2-10,9,13,22
84,Richmond (CAA),12,5-7,10,12,22
97,Northern Colo. (Big Sky),12,2-10,10,13,23
97,Alabama St. (SWAC),11,5-6,7,16,23
97,North Dakota (FCS Independent),12,7-5,10,13,23
100,Alcorn (SWAC),13,9-4,14,10,24
100,Lamar University (Southland),12,4-8,15,9,24
100,Gardner-Webb (Big South),12,3-9,12,12,24
100,Montana (Big Sky),14,10-4,8,16,24
