Rank,Team,G,W-L,Fum Lost,Int,Turn Lost
100,Houston Baptist (Southland),12,5-7,8,16,24
100,Mercer (SoCon),12,4-8,7,17,24
100,South Dakota St. (MVFC),13,8-5,17,7,24
100,South Dakota (MVFC),12,5-7,11,13,24
100,Samford (SoCon),12,5-7,10,14,24
109,Duquesne (NEC),11,6-5,10,15,25
109,Alabama A&M (SWAC),12,7-5,14,11,25
109,Presbyterian (Big South),12,2-10,10,15,25
109,Nicholls (Southland),14,9-5,13,12,25
113,Illinois St. (MVFC),15,10-5,11,15,26
113,Indiana St. (MVFC),12,5-7,16,10,26
113,Sam Houston (Southland),12,7-5,10,16,26
116,Southeastern La. (Southland),13,8-5,13,14,27
116,Valparaiso (Pioneer),12,1-11,7,20,27
116,Southern U. (SWAC),13,8-5,13,14,27
116,Central Ark. (Southland),13,9-4,11,16,27
116,SFA (Southland),12,3-9,12,15,27
116,Morgan St. (MEAC),12,3-9,9,18,27
122,Morehead St. (Pioneer),12,5-7,12,16,28
122,Texas Southern (SWAC),11,0-11,15,13,28
124,Western Ill. (MVFC),12,1-11,17,14,31
