Rank,Team,G,W-L,KO Ret,KO Ret Yds,Kick Ret TDs,Avg
1,South Dakota (MVFC),12,7-5,20,560,1,28.00
2,Eastern Ky. (ASUN),11,7-4,19,522,1,27.47
3,Maine (CAA),11,6-5,34,903,1,26.56
4,James Madison (CAA),14,12-2,23,609,1,26.48
5,UC Davis (Big Sky),12,8-4,32,833,1,26.03
6,Southeast Mo. St. (OVC),11,4-7,26,669,1,25.73
7,Columbia (Ivy League),10,7-3,26,652,1,25.08
8,Montana (Big Sky),13,10-3,31,768,2,24.77
9,ETSU (SoCon),13,11-2,39,961,0,24.64
10,Sacramento St. (Big Sky),12,9-3,13,319,1,24.54
11,Northern Ariz. (Big Sky),11,5-6,19,466,0,24.53
12,Houston Baptist (Southland),11,0-11,44,"1,078",1,24.50
13,Central Ark. (ASUN),11,5-6,26,633,0,24.35
14,Jackson St. (SWAC),13,11-2,37,899,2,24.30
15,Missouri St. (MVFC),12,8-4,31,753,2,24.29
16,Weber St. (Big Sky),11,6-5,34,818,2,24.06
17,Penn (Ivy League),10,3-7,15,358,0,23.87
18,Harvard (Ivy League),10,8-2,13,301,1,23.15
19,Colgate (Patriot),11,5-6,33,764,2,23.15
20,N.C. A&T (Big South),11,5-6,34,785,1,23.09
21,Idaho (Big Sky),11,4-7,23,527,0,22.91
22,Bethune-Cookman (SWAC),11,2-9,46,"1,051",3,22.85
23,Drake (Pioneer),10,2-8,26,587,0,22.58
24,Idaho St. (Big Sky),11,1-10,23,511,1,22.22
25,Delaware St. (MEAC),11,5-6,48,"1,064",0,22.17
26,Hampton (Big South),11,5-6,33,729,0,22.09
27,Towson (CAA),11,4-7,43,947,0,22.02
28,Dartmouth (Ivy League),10,9-1,3,66,0,22.00
28,Western Caro. (SoCon),11,4-7,43,946,1,22.00
30,Lafayette (Patriot),11,3-8,32,700,1,21.88
31,UIW (Southland),13,10-3,26,560,0,21.54
32,Monmouth (Big South),11,7-4,27,581,1,21.52
33,Southeastern La. (Southland),13,9-4,47,"1,010",1,21.49
34,Richmond (CAA),11,6-5,28,600,1,21.43
35,SFA (ASUN),12,8-4,23,492,0,21.39
36,Yale (Ivy League),10,5-5,17,362,1,21.29
37,McNeese (Southland),11,4-7,27,574,1,21.26
38,Valparaiso (Pioneer),11,4-7,48,"1,016",0,21.17
39,North Dakota St. (MVFC),15,14-1,26,550,0,21.15
40,Kennesaw St. (Big South),13,11-2,28,592,0,21.14
41,North Dakota (MVFC),11,5-6,31,653,0,21.06
42,N.C. Central (MEAC),11,6-5,30,631,0,21.03
43,Wofford (SoCon),11,1-10,37,778,1,21.03
44,Elon (CAA),11,6-5,19,398,0,20.95
45,Youngstown St. (MVFC),10,3-7,24,499,0,20.79
46,Sacred Heart (NEC),12,8-4,22,457,0,20.77
47,Stetson (Pioneer),10,3-7,32,663,0,20.72
48,Gardner-Webb (Big South),11,4-7,33,674,0,20.42
49,Bryant (NEC),11,7-4,33,673,0,20.39
50,Rhode Island (CAA),11,7-4,38,774,0,20.37
51,The Citadel (SoCon),11,4-7,48,974,0,20.29
52,Nicholls (Southland),11,6-5,22,446,0,20.27
53,Butler (Pioneer),11,3-8,36,726,0,20.17
53,Marist (Pioneer),10,5-5,30,605,1,20.17
55,Ark.-Pine Bluff (SWAC),11,2-9,34,681,0,20.03
56,Chattanooga (SoCon),11,6-5,10,200,0,20.00
57,Charleston So. (Big South),10,4-6,24,478,0,19.92
58,Indiana St. (MVFC),11,5-6,31,616,0,19.87
59,Morehead St. (Pioneer),11,7-4,35,695,0,19.86
60,Southern Ill. (MVFC),13,8-5,18,357,0,19.83
61,Tennessee St. (OVC),11,5-6,37,731,1,19.76
62,Campbell (Big South),11,3-8,36,711,0,19.75
63,Northwestern St. (Southland),11,3-8,30,592,0,19.73
64,Cal Poly (Big Sky),11,2-9,44,868,0,19.73
65,VMI (SoCon),11,6-5,43,831,0,19.33
66,Lehigh (Patriot),11,3-8,26,497,0,19.12
67,Alabama A&M (SWAC),10,7-3,33,626,0,18.97
68,Southern U. (SWAC),11,4-7,31,587,0,18.94
