Rank,Team,G,W-L,KO Ret,KO Ret Yds,Kick Ret TDs,Avg
69,Brown (Ivy League),10,2-8,18,340,0,18.89
70,Samford (SoCon),11,4-7,49,925,1,18.88
71,South Dakota St. (MVFC),15,11-4,31,583,0,18.81
72,Florida A&M (SWAC),12,9-3,34,639,0,18.79
73,Central Conn. St. (NEC),11,4-7,44,823,1,18.70
74,Alcorn (SWAC),11,6-5,33,614,0,18.61
75,Fordham (Patriot),11,6-5,25,465,0,18.60
76,Cornell (Ivy League),10,2-8,28,520,0,18.57
77,Mercer (SoCon),10,7-3,29,536,0,18.48
78,Robert Morris (Big South),10,4-6,37,683,0,18.46
79,New Hampshire (CAA),11,3-8,44,812,0,18.45
80,Stony Brook (CAA),11,5-6,25,459,0,18.36
81,Portland St. (Big Sky),11,5-6,28,514,0,18.36
82,Sam Houston (ASUN),12,11-1,22,402,0,18.27
83,Southern Utah (Big Sky),11,1-10,27,493,0,18.26
84,Delaware (CAA),11,5-6,36,657,0,18.25
85,Dayton (Pioneer),10,6-4,34,620,0,18.24
86,UAlbany (CAA),11,2-9,26,474,0,18.23
87,Northern Colo. (Big Sky),11,3-8,22,401,0,18.23
88,Furman (SoCon),11,6-5,30,546,0,18.20
89,Morgan St. (MEAC),11,2-9,39,706,0,18.10
90,Eastern Wash. (Big Sky),13,10-3,22,398,0,18.09
91,Alabama St. (SWAC),11,5-6,25,451,1,18.04
92,Duquesne (NEC),10,7-3,28,503,0,17.96
93,Jacksonville St. (ASUN),11,5-6,31,556,0,17.94
94,UNI (MVFC),12,6-6,18,322,0,17.89
95,LIU (NEC),10,2-8,40,706,0,17.65
96,Villanova (CAA),13,10-3,23,404,0,17.57
97,Murray St. (OVC),11,6-5,26,456,0,17.54
98,Texas Southern (SWAC),10,2-8,39,679,0,17.41
99,Grambling (SWAC),11,4-7,27,468,0,17.33
100,Illinois St. (MVFC),11,4-7,18,311,0,17.28
101,Holy Cross (Patriot),13,10-3,29,501,0,17.28
102,San Diego (Pioneer),11,7-4,28,480,0,17.14
103,Davidson (Pioneer),11,8-3,28,479,0,17.11
104,Eastern Ill. (OVC),11,1-10,12,205,0,17.08
105,Howard (MEAC),11,3-8,35,597,1,17.06
106,South Carolina St. (MEAC),12,7-5,31,524,0,16.90
107,Abilene Christian (ASUN),11,5-6,36,606,0,16.83
108,Lamar University (ASUN),10,1-9,22,370,0,16.82
109,Wagner (NEC),11,0-11,38,628,0,16.53
110,Western Ill. (MVFC),11,2-9,28,462,0,16.50
111,Montana St. (Big Sky),15,12-3,23,378,0,16.43
112,Saint Francis (PA) (NEC),11,5-6,18,295,1,16.39
113,Prairie View (SWAC),12,7-5,24,388,0,16.17
114,Austin Peay (OVC),11,6-5,28,448,0,16.00
114,William & Mary (CAA),11,6-5,29,464,0,16.00
116,Mississippi Val. (SWAC),11,4-7,36,573,0,15.92
117,Bucknell (Patriot),11,1-10,32,501,0,15.66
118,Norfolk St. (MEAC),11,6-5,35,542,0,15.49
119,Georgetown (Patriot),10,2-8,35,539,0,15.40
120,Princeton (Ivy League),10,9-1,10,142,0,14.20
121,UT Martin (OVC),13,10-3,13,184,0,14.15
122,Tennessee Tech (OVC),11,3-8,22,279,0,12.68
123,Presbyterian (Pioneer),11,2-9,24,254,0,10.58
