Rank,Team,G,W-L,Punt Ret,Punt Ret Yds,Punt Ret TDs,Avg
1,North Dakota St. (MVFC),10,7-3,12,285,2,23.75
2,Montana (Big Sky),2,2-0,7,166,0,23.71
3,Sam Houston (Southland),10,10-0,22,403,2,18.32
4,Gardner-Webb (Big South),4,2-2,8,146,2,18.25
5,Ark.-Pine Bluff (SWAC),5,4-1,16,273,2,17.06
6,UIW (Southland),6,3-3,7,117,0,16.71
7,South Carolina St. (MEAC),4,3-1,6,100,0,16.67
8,Lamar University (Southland),6,2-4,4,66,1,16.50
9,ETSU (SoCon),6,4-2,9,124,0,13.78
10,South Dakota St. (MVFC),10,8-2,8,106,0,13.25
11,New Hampshire (CAA),1,0-1,2,26,1,13.00
12,Jackson St. (SWAC),6,3-3,20,250,0,12.50
13,Grambling (SWAC),4,0-4,5,62,0,12.40
14,South Dakota (MVFC),4,1-3,2,24,0,12.00
15,Southern Utah (Big Sky),6,1-5,7,83,1,11.86
16,Presbyterian (Pioneer),7,4-3,9,105,0,11.67
17,Murray St. (OVC),7,5-2,11,123,0,11.18
18,Alabama A&M (SWAC),4,4-0,8,88,0,11.00
18,Central Ark. (Southland),9,5-4,16,176,1,11.00
20,Weber St. (Big Sky),6,5-1,6,64,0,10.67
21,Morehead St. (Pioneer),7,4-3,7,74,0,10.57
22,Eastern Ill. (OVC),6,1-5,4,41,1,10.25
23,Southern U. (SWAC),5,4-1,9,92,1,10.22
24,SFA (Southland),10,6-4,14,142,2,10.14
25,UC Davis (Big Sky),5,3-2,8,81,0,10.12
26,Samford (SoCon),7,4-3,20,200,1,10.00
27,Tennessee St. (OVC),7,2-5,9,89,0,9.89
28,Southern Ill. (MVFC),10,6-4,12,113,0,9.42
29,Duquesne (NEC),5,4-1,3,27,0,9.00
29,Northern Ariz. (Big Sky),5,3-2,3,27,0,9.00
31,Monmouth (Big South),4,3-1,8,67,0,8.38
32,Drake (Pioneer),5,2-3,7,58,0,8.29
33,VMI (SoCon),8,6-2,9,74,0,8.22
34,San Diego (Pioneer),6,4-2,8,65,0,8.12
35,Sacred Heart (NEC),5,3-2,7,54,0,7.71
36,Bucknell (Patriot),4,2-2,6,46,0,7.67
37,Western Caro. (SoCon),9,1-8,5,38,0,7.60
38,Delaware St. (MEAC),5,2-3,9,68,1,7.56
38,Mississippi Val. (SWAC),3,0-3,9,68,0,7.56
40,Abilene Christian (Southland),6,1-5,4,30,0,7.50
41,Southeast Mo. St. (OVC),8,4-4,18,134,1,7.44
42,Missouri St. (MVFC),10,5-5,20,148,1,7.40
43,Alabama St. (SWAC),5,2-3,8,59,0,7.38
44,Charleston So. (Big South),4,2-2,3,22,0,7.33
45,Elon (CAA),6,1-5,4,29,0,7.25
46,Illinois St. (MVFC),4,1-3,8,54,0,6.75
47,North Dakota (MVFC),7,5-2,10,66,1,6.60
47,Tennessee Tech (OVC),7,2-5,10,66,1,6.60
49,Howard (MEAC),2,0-2,3,19,0,6.33
50,Maine (CAA),4,2-2,5,31,0,6.20
51,LIU (NEC),4,2-2,6,36,0,6.00
52,Villanova (CAA),4,2-2,8,47,0,5.88
53,Prairie View (SWAC),3,2-1,5,29,0,5.80
54,Richmond (CAA),4,3-1,3,17,0,5.67
55,Western Ill. (MVFC),6,1-5,8,45,1,5.62
56,UNI (MVFC),7,3-4,13,71,0,5.46
56,Youngstown St. (MVFC),7,1-6,13,71,0,5.46
58,Cal Poly (Big Sky),3,0-3,1,5,0,5.00
59,Bryant (NEC),4,2-2,5,24,0,4.80
60,Butler (Pioneer),6,0-6,4,19,0,4.75
60,Stetson (Pioneer),4,0-4,4,19,0,4.75
62,UAlbany (CAA),4,1-3,3,14,0,4.67
63,Houston Baptist (Southland),4,1-3,4,17,0,4.25
64,The Citadel (SoCon),12,2-10,11,46,1,4.18
65,Kennesaw St. (Big South),5,4-1,10,41,0,4.10
66,James Madison (CAA),8,7-1,10,40,0,4.00
67,Mercer (SoCon),11,5-6,16,63,0,3.94
68,Furman (SoCon),7,3-4,12,47,0,3.92
69,Eastern Wash. (Big Sky),7,5-2,11,42,0,3.82
70,Eastern Ky. (OVC),9,3-6,4,15,0,3.75
71,Delaware (CAA),8,7-1,11,41,0,3.73
71,Valparaiso (Pioneer),6,4-2,11,41,0,3.73
73,Austin Peay (OVC),9,4-5,11,40,0,3.64
74,Holy Cross (Patriot),4,3-1,2,7,1,3.50
75,Idaho (Big Sky),6,2-4,4,12,0,3.00
75,Southeastern La. (Southland),7,4-3,1,3,0,3.00
77,Idaho St. (Big Sky),6,2-4,7,18,0,2.57
78,Robert Morris (Big South),3,0-3,3,7,0,2.33
78,Stony Brook (CAA),4,1-3,3,7,0,2.33
80,Lafayette (Patriot),3,2-1,3,6,0,2.00
81,Rhode Island (CAA),3,2-1,3,4,0,1.33
82,Nicholls (Southland),7,4-3,12,13,0,1.08
83,Colgate (Patriot),2,0-2,1,1,0,1.00
83,Texas Southern (SWAC),2,0-2,1,1,0,1.00
83,UT Martin (OVC),7,3-4,2,2,0,1.00
86,William & Mary (CAA),3,1-2,8,7,0,0.88
87,McNeese (Southland),7,3-4,7,6,0,0.86
88,Wofford (SoCon),5,1-4,4,3,0,0.75
89,Jacksonville St. (OVC),13,10-3,14,10,0,0.71
90,Campbell (Big South),4,0-4,0,0,0,0.00
90,Davidson (Pioneer),7,4-3,1,0,0,0.00
90,Portland St. (Big Sky),1,0-1,1,0,0,0.00
90,Wagner (NEC),2,0-2,0,0,0,0.00
94,Northwestern St. (Southland),6,1-5,6,-2,0,-0.33
95,Chattanooga (SoCon),5,3-2,3,-4,0,-1.33
95,Lehigh (Patriot),3,0-3,6,-8,0,-1.33
97,Fordham (Patriot),3,2-1,1,-6,0,-6.00
