Rank,Team,G,W-L,Rush,Rush Yds,Yds/Rush,Rush TD,YPG
1,Davidson (Pioneer),7,4-3,428,"1,960",4.58,16,280
2,Kennesaw St. (Big South),5,4-1,284,"1,340",4.72,13,268
3,Nicholls (Southland),7,4-3,311,"1,844",5.93,25,263.4
4,The Citadel (SoCon),12,2-10,721,"2,908",4.03,19,242.3
5,Wofford (SoCon),5,1-4,232,"1,164",5.02,11,232.8
6,James Madison (CAA),8,7-1,393,"1,861",4.74,20,232.6
7,South Dakota St. (MVFC),10,8-2,380,"2,317",6.10,20,231.7
8,UC Davis (Big Sky),5,3-2,232,"1,132",4.88,12,226.4
9,Montana (Big Sky),2,2-0,85,439,5.16,9,219.5
10,North Dakota St. (MVFC),10,7-3,426,"2,184",5.13,20,218.4
11,Southern U. (SWAC),5,4-1,218,"1,061",4.87,13,212.2
12,Villanova (CAA),4,2-2,147,843,5.73,10,210.8
13,Sacred Heart (NEC),5,3-2,232,"1,039",4.48,10,207.8
14,Weber St. (Big Sky),6,5-1,241,"1,237",5.13,11,206.2
15,Jacksonville St. (OVC),13,10-3,538,"2,457",4.57,29,189
16,Southern Ill. (MVFC),10,6-4,416,"1,860",4.47,17,186
17,North Dakota (MVFC),7,5-2,250,"1,294",5.18,15,184.9
18,Monmouth (Big South),4,3-1,168,728,4.33,11,182
19,Bryant (NEC),4,2-2,180,719,3.99,8,179.8
20,Holy Cross (Patriot),4,3-1,158,715,4.53,5,178.8
21,McNeese (Southland),7,3-4,302,"1,246",4.13,13,178
22,UIW (Southland),6,3-3,162,"1,051",6.49,8,175.2
23,Illinois St. (MVFC),4,1-3,172,678,3.94,4,169.5
24,Youngstown St. (MVFC),7,1-6,301,"1,184",3.93,9,169.1
25,South Carolina St. (MEAC),4,3-1,160,673,4.21,3,168.2
26,Northwestern St. (Southland),6,1-5,191,"1,007",5.27,9,167.8
27,Mercer (SoCon),11,5-6,491,"1,845",3.76,20,167.7
28,Jackson St. (SWAC),6,3-3,219,"1,005",4.59,12,167.5
29,Duquesne (NEC),5,4-1,204,825,4.04,8,165
30,Idaho (Big Sky),6,2-4,233,986,4.23,9,164.3
31,Stetson (Pioneer),4,0-4,154,655,4.25,3,163.8
32,Samford (SoCon),7,4-3,253,"1,125",4.45,18,160.7
33,Stony Brook (CAA),4,1-3,150,639,4.26,6,159.8
34,Sam Houston (Southland),10,10-0,353,"1,588",4.50,25,158.8
35,Furman (SoCon),7,3-4,313,"1,111",3.55,7,158.7
36,Eastern Wash. (Big Sky),7,5-2,259,"1,106",4.27,12,158
37,Alabama St. (SWAC),5,2-3,184,768,4.17,8,153.6
38,Richmond (CAA),4,3-1,144,613,4.26,6,153.2
39,Mississippi Val. (SWAC),3,0-3,112,459,4.10,4,153
40,Gardner-Webb (Big South),4,2-2,148,607,4.10,7,151.8
41,Valparaiso (Pioneer),6,4-2,249,910,3.65,8,151.7
42,Delaware St. (MEAC),5,2-3,220,753,3.42,4,150.6
43,ETSU (SoCon),6,4-2,219,896,4.09,9,149.3
44,Delaware (CAA),8,7-1,345,"1,194",3.46,13,149.2
45,Rhode Island (CAA),3,2-1,108,443,4.10,8,147.7
46,Southeast Mo. St. (OVC),8,4-4,300,"1,180",3.93,18,147.5
47,Lamar University (Southland),6,2-4,294,873,2.97,5,145.5
48,LIU (NEC),4,2-2,151,576,3.81,5,144
49,Murray St. (OVC),7,5-2,252,993,3.94,12,141.9
50,Campbell (Big South),4,0-4,157,567,3.61,7,141.8
51,Western Caro. (SoCon),9,1-8,298,"1,214",4.07,11,134.9
52,Austin Peay (OVC),9,4-5,322,"1,204",3.74,14,133.8
53,Tennessee St. (OVC),7,2-5,259,936,3.61,9,133.7
54,Eastern Ill. (OVC),6,1-5,206,779,3.78,5,129.8
55,Grambling (SWAC),4,0-4,161,517,3.21,5,129.2
56,Eastern Ky. (OVC),9,3-6,311,"1,161",3.73,9,129
57,Maine (CAA),4,2-2,140,506,3.61,4,126.5
58,Northern Ariz. (Big Sky),5,3-2,181,630,3.48,8,126
59,SFA (Southland),10,6-4,339,"1,253",3.70,13,125.3
60,Texas Southern (SWAC),2,0-2,81,250,3.09,2,125
61,Chattanooga (SoCon),5,3-2,192,622,3.24,9,124.4
62,William & Mary (CAA),3,1-2,99,373,3.77,4,124.3
63,Idaho St. (Big Sky),6,2-4,227,730,3.22,7,121.7
64,Ark.-Pine Bluff (SWAC),5,4-1,177,596,3.37,5,119.2
64,Drake (Pioneer),5,2-3,169,596,3.53,5,119.2
66,UAlbany (CAA),4,1-3,144,475,3.30,2,118.8
67,Alabama A&M (SWAC),4,4-0,132,473,3.58,5,118.2
67,VMI (SoCon),8,6-2,275,946,3.44,12,118.2
69,Southeastern La. (Southland),7,4-3,240,817,3.40,13,116.7
70,Central Ark. (Southland),9,5-4,273,"1,026",3.76,8,114
71,Tennessee Tech (OVC),7,2-5,242,797,3.29,9,113.9
72,Missouri St. (MVFC),10,5-5,377,"1,115",2.96,12,111.5
73,San Diego (Pioneer),6,4-2,198,653,3.30,6,108.8
74,Howard (MEAC),2,0-2,60,216,3.60,2,108
75,Abilene Christian (Southland),6,1-5,190,633,3.33,8,105.5
76,UNI (MVFC),7,3-4,238,737,3.10,10,105.3
77,Butler (Pioneer),6,0-6,183,626,3.42,5,104.3
78,Cal Poly (Big Sky),3,0-3,129,305,2.36,1,101.7
78,Prairie View (SWAC),3,2-1,96,305,3.18,4,101.7
80,Presbyterian (Pioneer),7,4-3,228,703,3.08,9,100.4
81,Portland St. (Big Sky),1,0-1,35,100,2.86,0,100
82,Southern Utah (Big Sky),6,1-5,173,589,3.40,5,98.2
83,Charleston So. (Big South),4,2-2,143,386,2.70,4,96.5
84,Colgate (Patriot),2,0-2,72,187,2.60,2,93.5
85,Houston Baptist (Southland),4,1-3,105,352,3.35,2,88
86,Wagner (NEC),2,0-2,61,174,2.85,1,87
87,Elon (CAA),6,1-5,175,517,2.95,6,86.2
88,Fordham (Patriot),3,2-1,98,251,2.56,5,83.7
89,South Dakota (MVFC),4,1-3,137,321,2.34,5,80.2
90,Lafayette (Patriot),3,2-1,91,239,2.63,1,79.7
91,UT Martin (OVC),7,3-4,202,531,2.63,5,75.9
92,Morehead St. (Pioneer),7,4-3,194,465,2.40,5,66.4
93,Bucknell (Patriot),4,2-2,122,247,2.02,3,61.8
94,New Hampshire (CAA),1,0-1,24,58,2.42,0,58
95,Western Ill. (MVFC),6,1-5,133,338,2.54,4,56.3
96,Robert Morris (Big South),3,0-3,88,156,1.77,1,52
97,Lehigh (Patriot),3,0-3,86,95,1.10,1,31.7
