Rank,Team,G,W-L,Penalties,PYards,YPG
1,Wofford (SoCon),11,1-10,44,347,31.55
2,Mercer (SoCon),10,7-3,38,322,32.20
3,Bucknell (Patriot),11,1-10,51,360,32.73
4,Montana St. (Big Sky),15,12-3,57,502,33.47
5,Princeton (Ivy League),10,9-1,41,346,34.60
6,Furman (SoCon),11,6-5,40,388,35.27
7,Butler (Pioneer),11,3-8,42,402,36.55
8,Colgate (Patriot),11,5-6,49,409,37.18
9,North Dakota (MVFC),11,5-6,47,428,38.91
10,Delaware (CAA),11,5-6,49,430,39.09
11,South Dakota (MVFC),12,7-5,56,472,39.33
12,Howard (MEAC),11,3-8,53,438,39.82
13,Lafayette (Patriot),11,3-8,52,441,40.09
14,Robert Morris (Big South),10,4-6,48,410,41.00
15,Lamar University (WAC),10,1-9,48,413,41.30
16,New Hampshire (CAA),11,3-8,63,468,42.55
17,Kennesaw St. (Big South),13,11-2,59,558,42.92
18,Southern Utah (Big Sky),11,1-10,54,477,43.36
19,Brown (Ivy League),10,2-8,49,437,43.70
20,Charleston So. (Big South),10,4-6,45,446,44.60
21,The Citadel (SoCon),11,4-7,54,493,44.82
22,Elon (CAA),11,6-5,62,495,45.00
23,Cal Poly (Big Sky),11,2-9,59,498,45.27
24,Prairie View (SWAC),12,7-5,60,545,45.42
25,Marist (Pioneer),10,5-5,60,455,45.50
26,North Dakota St. (MVFC),15,14-1,77,685,45.67
26,UC Davis (Big Sky),12,8-4,59,548,45.67
28,Drake (Pioneer),10,2-8,52,457,45.70
29,LIU (NEC),10,2-8,53,463,46.30
30,Saint Francis (PA) (NEC),11,5-6,63,514,46.73
31,Monmouth (Big South),11,7-4,63,528,48.00
32,Albany (NY) (CAA),11,2-9,59,531,48.27
33,Samford (SoCon),11,4-7,53,532,48.36
34,Grambling (SWAC),11,4-7,50,535,48.64
35,Dartmouth (Ivy League),10,9-1,52,487,48.70
36,Lehigh (Patriot),11,3-8,56,536,48.73
37,Rhode Island (CAA),11,7-4,65,538,48.91
38,Youngstown St. (MVFC),10,3-7,46,492,49.20
39,Idaho St. (Big Sky),11,1-10,59,544,49.45
40,Sacred Heart (NEC),12,8-4,62,594,49.50
41,Dayton (Pioneer),10,6-4,53,496,49.60
42,Illinois St. (MVFC),11,4-7,66,547,49.73
43,Northern Ariz. (Big Sky),11,5-6,61,549,49.91
