Rank,Team,G,W-L,RuFD,PaFD,PnFD,FD
1,Jacksonville St. (OVC),13,10-3,115,106,24,245
2,Southern Ill. (MVFC),10,6-4,104,110,17,231
3,The Citadel (SoCon),12,2-10,159,26,19,204
3,Sam Houston (Southland),10,10-0,78,109,17,204
5,VMI (SoCon),8,6-2,60,120,21,201
6,Southeastern La. (Southland),7,4-3,55,125,17,197
7,Nicholls (Southland),7,4-3,88,93,14,195
8,Mercer (SoCon),11,5-6,104,74,16,194
9,South Dakota St. (MVFC),10,8-2,107,74,6,187
10,Eastern Wash. (Big Sky),7,5-2,63,111,11,185
11,James Madison (CAA),8,7-1,94,75,8,177
12,North Dakota St. (MVFC),10,7-3,113,54,9,176
13,SFA (Southland),10,6-4,63,99,9,171
14,Central Ark. (Southland),9,5-4,54,98,18,170
15,Eastern Ky. (OVC),9,3-6,56,94,19,169
16,Samford (SoCon),7,4-3,58,103,7,168
17,Austin Peay (OVC),9,4-5,67,78,21,166
18,UIW (Southland),6,3-3,53,96,11,160
19,Missouri St. (MVFC),10,5-5,74,72,11,157
20,Delaware (CAA),8,7-1,66,70,18,154
21,McNeese (Southland),7,3-4,65,69,18,152
22,Davidson (Pioneer),7,4-3,112,26,11,149
23,Southeast Mo. St. (OVC),8,4-4,66,58,20,144
24,North Dakota (MVFC),7,5-2,61,70,10,141
25,Idaho St. (Big Sky),6,2-4,45,79,16,140
26,UT Martin (OVC),7,3-4,37,88,14,139
27,Presbyterian (Pioneer),7,4-3,45,80,13,138
28,Jackson St. (SWAC),6,3-3,57,67,11,135
29,Northwestern St. (Southland),6,1-5,47,78,8,133
30,Idaho (Big Sky),6,2-4,56,62,12,130
31,Western Caro. (SoCon),9,1-8,67,47,15,129
32,Southern Utah (Big Sky),6,1-5,35,74,19,128
33,Furman (SoCon),7,3-4,61,56,9,126
34,Tennessee Tech (OVC),7,2-5,51,55,15,121
35,Murray St. (OVC),7,5-2,48,55,15,118
36,Weber St. (Big Sky),6,5-1,57,51,9,117
37,San Diego (Pioneer),6,4-2,35,73,8,116
38,UC Davis (Big Sky),5,3-2,62,50,3,115
39,UNI (MVFC),7,3-4,50,54,10,114
40,Youngstown St. (MVFC),7,1-6,70,33,9,112
40,Tennessee St. (OVC),7,2-5,44,49,19,112
40,Morehead St. (Pioneer),7,4-3,28,79,5,112
43,Western Ill. (MVFC),6,1-5,18,78,13,109
44,ETSU (SoCon),6,4-2,57,44,7,108
44,Butler (Pioneer),6,0-6,36,65,7,108
46,Houston Baptist (Southland),4,1-3,22,74,10,106
46,Abilene Christian (Southland),6,1-5,38,62,6,106
48,Southern U. (SWAC),5,4-1,62,40,3,105
48,Sacred Heart (NEC),5,3-2,58,39,8,105
48,Alabama A&M (SWAC),4,4-0,28,58,19,105
51,Duquesne (NEC),5,4-1,36,56,11,103
52,Alabama St. (SWAC),5,2-3,40,51,11,102
53,Kennesaw St. (Big South),5,4-1,80,19,2,101
54,Northern Ariz. (Big Sky),5,3-2,31,53,15,99
55,Eastern Ill. (OVC),6,1-5,36,44,16,96
56,Valparaiso (Pioneer),6,4-2,60,25,8,93
57,Monmouth (Big South),4,3-1,38,46,7,91
57,Lamar University (Southland),6,2-4,59,30,2,91
59,Wofford (SoCon),5,1-4,58,28,4,90
60,Ark.-Pine Bluff (SWAC),5,4-1,25,59,5,89
61,Elon (CAA),6,1-5,34,44,8,86
62,Chattanooga (SoCon),5,3-2,39,38,8,85
63,Delaware St. (MEAC),5,2-3,48,24,10,82
63,Charleston So. (Big South),4,2-2,26,49,7,82
65,Villanova (CAA),4,2-2,28,40,11,79
66,Maine (CAA),4,2-2,23,41,13,77
66,UAlbany (CAA),4,1-3,27,41,9,77
68,Gardner-Webb (Big South),4,2-2,32,35,9,76
68,Campbell (Big South),4,0-4,34,36,6,76
70,Grambling (SWAC),4,0-4,35,31,9,75
71,South Dakota (MVFC),4,1-3,27,42,5,74
72,South Carolina St. (MEAC),4,3-1,35,28,9,72
72,Richmond (CAA),4,3-1,36,33,3,72
74,Bucknell (Patriot),4,2-2,22,42,7,71
75,Stony Brook (CAA),4,1-3,38,23,8,69
75,Bryant (NEC),4,2-2,42,20,7,69
77,LIU (NEC),4,2-2,35,24,8,67
78,Illinois St. (MVFC),4,1-3,38,22,3,63
78,Fordham (Patriot),3,2-1,18,40,5,63
80,Drake (Pioneer),5,2-3,31,26,5,62
81,Prairie View (SWAC),3,2-1,20,34,6,60
82,Stetson (Pioneer),4,0-4,31,23,5,59
83,Holy Cross (Patriot),4,3-1,37,17,4,58
84,Montana (Big Sky),2,2-0,22,29,2,53
85,Rhode Island (CAA),3,2-1,25,23,4,52
86,Cal Poly (Big Sky),3,0-3,23,24,4,51
87,Lafayette (Patriot),3,2-1,11,32,4,47
88,Mississippi Val. (SWAC),3,0-3,23,16,6,45
89,Robert Morris (Big South),3,0-3,14,24,6,44
90,William & Mary (CAA),3,1-2,16,24,2,42
91,Howard (MEAC),2,0-2,16,20,4,40
92,Texas Southern (SWAC),2,0-2,14,21,4,39
93,Lehigh (Patriot),3,0-3,10,23,4,37
94,Colgate (Patriot),2,0-2,13,18,4,35
95,Wagner (NEC),2,0-2,11,9,2,22
96,Portland St. (Big Sky),1,0-1,5,6,2,13
97,New Hampshire (CAA),1,0-1,1,10,0,11
