Rank,Team,G,W-L,Pass Att,Pass Com,Int,Pass Yds,Yds/Att,Yds/Comp,Pass TD,YPG
57,Northwestern St. (Southland),11,3-8,378,229,10,"2,336",6.18,10.20,14,212.4
58,Dartmouth (Ivy League),10,9-1,266,183,3,"2,123",7.98,11.60,18,212.3
59,Robert Morris (Big South),10,4-6,324,194,8,"2,120",6.54,10.93,15,212
60,Villanova (CAA),13,10-3,350,197,10,"2,730",7.80,13.86,25,210
61,Maine (CAA),11,6-5,347,187,6,"2,306",6.65,12.33,18,209.6
62,Rhode Island (CAA),11,7-4,313,166,7,"2,303",7.36,13.87,19,209.4
63,N.C. Central (MEAC),11,6-5,342,196,6,"2,292",6.70,11.69,15,208.4
64,Jacksonville St. (ASUN),11,5-6,358,191,9,"2,285",6.38,11.96,13,207.7
65,South Dakota (MVFC),12,7-5,314,199,9,"2,479",7.89,12.46,18,206.6
66,South Carolina St. (MEAC),12,7-5,387,193,14,"2,478",6.40,12.84,18,206.5
67,Tennessee St. (OVC),11,5-6,320,179,6,"2,240",7.00,12.51,13,203.6
68,Holy Cross (Patriot),13,10-3,351,210,9,"2,624",7.48,12.50,21,201.8
69,Mercer (SoCon),10,7-3,225,131,12,"2,000",8.89,15.27,15,200
70,Ark.-Pine Bluff (SWAC),11,2-9,354,178,14,"2,166",6.12,12.17,9,196.9
71,Marist (Pioneer),10,5-5,283,168,7,"1,962",6.93,11.68,16,196.2
72,ETSU (SoCon),13,11-2,350,216,6,"2,544",7.27,11.78,20,195.7
73,Houston Baptist (Southland),11,0-11,432,241,19,"2,149",4.97,8.92,13,195.4
74,Central Conn. St. (NEC),11,4-7,362,194,9,"2,133",5.89,10.99,16,193.9
75,Eastern Ill. (OVC),11,1-10,398,189,17,"2,125",5.34,11.24,8,193.2
76,Richmond (CAA),11,6-5,329,190,8,"2,112",6.42,11.12,15,192
77,Harvard (Ivy League),10,8-2,293,165,8,"1,919",6.55,11.63,13,191.9
78,Alabama St. (SWAC),11,5-6,337,202,10,"2,104",6.24,10.42,18,191.3
79,McNeese (Southland),11,4-7,310,180,3,"2,088",6.74,11.60,14,189.8
80,Towson (CAA),11,4-7,347,192,15,"2,085",6.01,10.86,14,189.5
81,Idaho St. (Big Sky),11,1-10,345,182,14,"2,074",6.01,11.40,11,188.5
82,Idaho (Big Sky),11,4-7,278,163,13,"2,073",7.46,12.72,9,188.5
83,N.C. A&T (Big South),11,5-6,289,159,9,"2,067",7.15,13.00,12,187.9
84,Duquesne (NEC),10,7-3,268,153,8,"1,860",6.94,12.16,19,186
85,Lafayette (Patriot),11,3-8,312,186,9,"2,015",6.46,10.83,5,183.2
86,Montana St. (Big Sky),15,12-3,338,201,4,"2,718",8.04,13.52,25,181.2
87,Butler (Pioneer),11,3-8,281,161,14,"1,991",7.09,12.37,11,181
88,Delaware (CAA),11,5-6,290,163,10,"1,981",6.83,12.15,12,180.1
89,UT Martin (OVC),13,10-3,362,208,10,"2,316",6.40,11.13,17,178.2
90,Indiana St. (MVFC),11,5-6,337,196,11,"1,952",5.79,9.96,10,177.5
91,Saint Francis (PA) (NEC),11,5-6,261,153,5,"1,939",7.43,12.67,17,176.3
92,Furman (SoCon),11,6-5,269,149,9,"1,933",7.19,12.97,11,175.7
93,Penn (Ivy League),10,3-7,287,147,12,"1,757",6.12,11.95,8,175.7
94,Drake (Pioneer),10,2-8,281,156,11,"1,742",6.20,11.17,8,174.2
95,New Hampshire (CAA),11,3-8,332,193,12,"1,913",5.76,9.91,16,173.9
96,Southern U. (SWAC),11,4-7,277,166,10,"1,861",6.72,11.21,15,169.2
97,Chattanooga (SoCon),11,6-5,268,147,13,"1,856",6.93,12.63,7,168.7
98,Valparaiso (Pioneer),11,4-7,290,163,16,"1,848",6.37,11.34,11,168
99,Northern Colo. (Big Sky),11,3-8,360,212,11,"1,845",5.12,8.70,10,167.7
100,Mississippi Val. (SWAC),11,4-7,284,160,10,"1,842",6.49,11.51,11,167.5
101,Stony Brook (CAA),11,5-6,275,150,11,"1,841",6.69,12.27,9,167.4
102,LIU (NEC),10,2-8,267,146,5,"1,663",6.23,11.39,10,166.3
103,Southeast Mo. St. (OVC),11,4-7,274,137,9,"1,803",6.58,13.16,14,163.9
104,Columbia (Ivy League),10,7-3,279,154,3,"1,633",5.85,10.60,10,163.3
105,Colgate (Patriot),11,5-6,283,155,11,"1,782",6.30,11.50,6,162
106,Murray St. (OVC),11,6-5,277,148,15,"1,781",6.43,12.03,5,161.9
107,Tennessee Tech (OVC),11,3-8,311,164,19,"1,760",5.66,10.73,10,160
108,Lehigh (Patriot),11,3-8,315,181,10,"1,745",5.54,9.64,5,158.6
109,Sacred Heart (NEC),12,8-4,248,146,8,"1,859",7.50,12.73,9,154.9
110,Delaware St. (MEAC),11,5-6,256,136,5,"1,668",6.52,12.26,21,151.6
111,North Dakota St. (MVFC),15,14-1,257,159,7,"2,263",8.81,14.23,20,150.9
112,Morgan St. (MEAC),11,2-9,318,159,15,"1,613",5.07,10.14,8,146.6
113,William & Mary (CAA),11,6-5,219,127,10,"1,487",6.79,11.71,9,135.2
114,Youngstown St. (MVFC),10,3-7,238,138,11,"1,339",5.63,9.70,11,133.9
115,Illinois St. (MVFC),11,4-7,224,116,7,"1,373",6.13,11.84,9,124.8
116,Kennesaw St. (Big South),13,11-2,151,89,4,"1,606",10.64,18.04,18,123.5
117,Grambling (SWAC),11,4-7,296,131,11,"1,354",4.57,10.34,10,123.1
118,Bucknell (Patriot),11,1-10,314,154,13,"1,336",4.25,8.68,6,121.5
119,Wofford (SoCon),11,1-10,176,90,8,"1,257",7.14,13.97,9,114.3
120,Wagner (NEC),11,0-11,225,109,10,"1,212",5.39,11.12,7,110.2
121,Davidson (Pioneer),11,8-3,139,83,7,"1,179",8.48,14.20,12,107.2
122,The Citadel (SoCon),11,4-7,133,65,5,"1,158",8.71,17.82,7,105.3
123,Lamar University (ASUN),10,1-9,172,80,5,"1,029",5.98,12.86,4,102.9
