Rank,Team,G,W-L,Pass Att,Pass Com,Int,Pass Yds,Yds/Att,Yds/Comp,Pass TD,YPG
1,Presbyterian (Pioneer),11,2-9,654,407,35,"4,562",6.98,11.21,44,414.7
2,Southeastern La. (Southland),13,9-4,570,415,10,"5,293",9.29,12.75,45,407.2
3,Eastern Wash. (Big Sky),13,10-3,572,373,8,"5,192",9.08,13.92,47,399.4
4,Alabama A&M (SWAC),10,7-3,425,265,9,"3,672",8.64,13.86,37,367.2
5,UIW (Southland),13,10-3,597,389,10,"4,680",7.84,12.03,48,360
6,Morehead St. (Pioneer),11,7-4,512,292,20,"3,691",7.21,12.64,30,335.5
7,Western Caro. (SoCon),11,4-7,472,282,18,"3,521",7.46,12.49,26,320.1
8,Brown (Ivy League),10,2-8,450,298,14,"3,119",6.93,10.47,25,311.9
9,Samford (SoCon),11,4-7,480,318,15,"3,382",7.05,10.64,22,307.5
10,Western Ill. (MVFC),11,2-9,482,315,14,"3,311",6.87,10.51,23,301
11,Fordham (Patriot),11,6-5,411,241,9,"3,264",7.94,13.54,31,296.7
12,Sacramento St. (Big Sky),12,9-3,439,273,8,"3,500",7.97,12.82,20,291.7
13,SFA (ASUN),12,8-4,416,263,11,"3,499",8.41,13.30,30,291.6
14,Portland St. (Big Sky),11,5-6,440,270,12,"3,154",7.17,11.68,21,286.7
15,Missouri St. (MVFC),12,8-4,412,240,11,"3,394",8.24,14.14,22,282.8
16,Central Ark. (ASUN),11,5-6,378,236,12,"3,087",8.17,13.08,28,280.6
17,James Madison (CAA),14,12-2,442,299,5,"3,868",8.75,12.94,43,276.3
18,Austin Peay (OVC),11,6-5,416,227,9,"3,009",7.23,13.26,23,273.5
19,Elon (CAA),11,6-5,398,253,5,"2,924",7.35,11.56,17,265.8
20,Princeton (Ivy League),10,9-1,316,208,8,"2,655",8.40,12.76,15,265.5
21,Sam Houston (ASUN),12,11-1,413,240,11,"3,153",7.63,13.14,32,262.8
22,Campbell (Big South),11,3-8,377,223,10,"2,878",7.63,12.91,24,261.6
23,VMI (SoCon),11,6-5,425,269,13,"2,826",6.65,10.51,18,256.9
24,Charleston So. (Big South),10,4-6,434,239,10,"2,553",5.88,10.68,19,255.3
25,Southern Ill. (MVFC),13,8-5,439,271,12,"3,315",7.55,12.23,28,255
26,Georgetown (Patriot),10,2-8,354,210,9,"2,537",7.17,12.08,11,253.7
27,Yale (Ivy League),10,5-5,352,193,12,"2,496",7.09,12.93,20,249.6
28,Jackson St. (SWAC),13,11-2,417,272,8,"3,231",7.75,11.88,30,248.5
29,Nicholls (Southland),11,6-5,359,216,15,"2,711",7.55,12.55,20,246.5
30,Monmouth (Big South),11,7-4,374,243,6,"2,709",7.24,11.15,25,246.3
31,Cornell (Ivy League),10,2-8,378,193,14,"2,429",6.43,12.59,12,242.9
32,Texas Southern (SWAC),10,2-8,308,177,4,"2,412",7.83,13.63,15,241.2
33,North Dakota (MVFC),11,5-6,388,250,7,"2,641",6.81,10.56,19,240.1
34,Gardner-Webb (Big South),11,4-7,371,223,6,"2,620",7.06,11.75,20,238.2
35,San Diego (Pioneer),11,7-4,362,225,10,"2,579",7.12,11.46,16,234.5
36,Dayton (Pioneer),10,6-4,288,171,7,"2,341",8.13,13.69,14,234.1
37,Hampton (Big South),11,5-6,303,177,12,"2,570",8.48,14.52,16,233.6
38,Southern Utah (Big Sky),11,1-10,390,242,13,"2,544",6.52,10.51,10,231.3
39,UC Davis (Big Sky),12,8-4,437,265,18,"2,775",6.35,10.47,19,231.2
40,South Dakota St. (MVFC),15,11-4,406,253,7,"3,434",8.46,13.57,31,228.9
41,Norfolk St. (MEAC),11,6-5,316,199,5,"2,511",7.95,12.62,21,228.3
42,Eastern Ky. (ASUN),11,7-4,385,234,10,"2,510",6.52,10.73,18,228.2
43,Howard (MEAC),11,3-8,325,190,8,"2,496",7.68,13.14,17,226.9
44,Bryant (NEC),11,7-4,390,244,4,"2,490",6.38,10.20,22,226.4
45,Alcorn (SWAC),11,6-5,310,192,5,"2,489",8.03,12.96,20,226.3
46,Prairie View (SWAC),12,7-5,353,210,13,"2,705",7.66,12.88,17,225.4
47,Northern Ariz. (Big Sky),11,5-6,364,213,10,"2,461",6.76,11.55,18,223.7
48,Montana (Big Sky),13,10-3,410,252,13,"2,902",7.08,11.52,19,223.2
49,Bethune-Cookman (SWAC),11,2-9,340,180,14,"2,453",7.21,13.63,18,223
50,UNI (MVFC),12,6-6,345,188,15,"2,672",7.74,14.21,17,222.7
51,Florida A&M (SWAC),12,9-3,408,235,7,"2,661",6.52,11.32,23,221.8
52,Cal Poly (Big Sky),11,2-9,412,212,15,"2,407",5.84,11.35,12,218.8
53,Weber St. (Big Sky),11,6-5,331,198,8,"2,384",7.20,12.04,14,216.7
54,Stetson (Pioneer),10,3-7,344,197,10,"2,166",6.30,10.99,15,216.6
55,Abilene Christian (ASUN),11,5-6,324,212,12,"2,376",7.33,11.21,18,216
56,UAlbany (CAA),11,2-9,326,183,7,"2,339",7.17,12.78,11,212.6
