Rank,Team,G,W-L,Punt Ret,Punt Ret Yds,Punt Ret TDs,Avg
1,Marist (Pioneer),10,5-5,4,124,1,31.00
2,Samford (SoCon),11,4-7,16,243,2,15.19
3,Florida A&M (SWAC),12,9-3,28,418,1,14.93
4,SFA (ASUN),12,8-4,26,387,3,14.88
5,Jackson St. (SWAC),13,11-2,36,511,1,14.19
6,South Carolina St. (MEAC),12,7-5,9,119,1,13.22
7,N.C. Central (MEAC),11,6-5,25,327,2,13.08
8,North Dakota St. (MVFC),15,14-1,26,333,1,12.81
9,Portland St. (Big Sky),11,5-6,9,115,0,12.78
10,Dartmouth (Ivy League),10,9-1,20,255,1,12.75
11,Rhode Island (CAA),11,7-4,18,226,2,12.56
12,Texas Southern (SWAC),10,2-8,9,106,0,11.78
13,Weber St. (Big Sky),11,6-5,22,251,1,11.41
14,Montana (Big Sky),13,10-3,37,413,1,11.16
15,Alcorn (SWAC),11,6-5,7,77,1,11.00
15,Jacksonville St. (ASUN),11,5-6,8,88,0,11.00
15,UC Davis (Big Sky),12,8-4,30,330,1,11.00
18,Saint Francis (PA) (NEC),11,5-6,17,186,2,10.94
19,Western Caro. (SoCon),11,4-7,15,164,1,10.93
20,Lamar University (ASUN),10,1-9,8,86,0,10.75
20,Wofford (SoCon),11,1-10,8,86,0,10.75
22,Tennessee St. (OVC),11,5-6,20,213,0,10.65
23,Delaware St. (MEAC),11,5-6,27,281,1,10.41
24,Howard (MEAC),11,3-8,20,206,0,10.30
25,Lehigh (Patriot),11,3-8,15,154,1,10.27
26,UIW (Southland),13,10-3,17,173,0,10.18
27,Alabama St. (SWAC),11,5-6,24,244,3,10.17
28,Murray St. (OVC),11,6-5,18,182,1,10.11
29,Houston Baptist (Southland),11,0-11,11,109,1,9.91
30,Ark.-Pine Bluff (SWAC),11,2-9,23,224,2,9.74
31,Dayton (Pioneer),10,6-4,10,95,0,9.50
32,Robert Morris (Big South),10,4-6,10,94,0,9.40
33,Morgan St. (MEAC),11,2-9,16,150,0,9.38
34,Sam Houston (ASUN),12,11-1,28,259,0,9.25
35,Bethune-Cookman (SWAC),11,2-9,19,175,0,9.21
36,South Dakota (MVFC),12,7-5,15,138,1,9.20
