Rank,Team,G,W-L,Punt Ret,Punt Ret Yds,Punt Ret TDs,Avg
37,Kennesaw St. (Big South),13,11-2,11,100,1,9.09
37,Monmouth (Big South),11,7-4,11,100,0,9.09
39,Central Ark. (ASUN),11,5-6,18,162,0,9.00
40,Delaware (CAA),11,5-6,16,143,0,8.94
41,Norfolk St. (MEAC),11,6-5,11,97,2,8.82
42,Tennessee Tech (OVC),11,3-8,20,176,0,8.80
43,Valparaiso (Pioneer),11,4-7,14,122,0,8.71
44,Duquesne (NEC),10,7-3,15,130,0,8.67
45,Charleston So. (Big South),10,4-6,12,103,0,8.58
46,Columbia (Ivy League),10,7-3,18,153,0,8.50
46,Idaho (Big Sky),11,4-7,20,170,0,8.50
46,The Citadel (SoCon),11,4-7,4,34,0,8.50
49,Bucknell (Patriot),11,1-10,5,42,0,8.40
49,Wagner (NEC),11,0-11,10,84,0,8.40
51,Mercer (SoCon),10,7-3,20,166,0,8.30
52,Eastern Ill. (OVC),11,1-10,7,58,1,8.29
53,McNeese (Southland),11,4-7,16,132,0,8.25
54,Southern Ill. (MVFC),13,8-5,9,74,0,8.22
55,Youngstown St. (MVFC),10,3-7,6,48,0,8.00
56,Furman (SoCon),11,6-5,16,126,0,7.88
57,Yale (Ivy League),10,5-5,15,118,1,7.87
58,Villanova (CAA),13,10-3,19,149,1,7.84
59,Sacramento St. (Big Sky),12,9-3,13,100,0,7.69
60,Grambling (SWAC),11,4-7,12,90,0,7.50
61,Gardner-Webb (Big South),11,4-7,12,89,0,7.42
62,San Diego (Pioneer),11,7-4,15,110,1,7.33
63,Towson (CAA),11,4-7,17,121,0,7.12
64,Central Conn. St. (NEC),11,4-7,14,98,0,7.00
64,Harvard (Ivy League),10,8-2,15,105,1,7.00
66,Georgetown (Patriot),10,2-8,6,41,0,6.83
67,Austin Peay (OVC),11,6-5,26,175,1,6.73
68,Lafayette (Patriot),11,3-8,11,73,0,6.64
69,Princeton (Ivy League),10,9-1,22,145,1,6.59
70,Southeast Mo. St. (OVC),11,4-7,17,112,0,6.59
71,Northwestern St. (Southland),11,3-8,7,46,0,6.57
72,Prairie View (SWAC),12,7-5,18,117,0,6.50
73,Brown (Ivy League),10,2-8,9,58,0,6.44
74,Cal Poly (Big Sky),11,2-9,15,96,0,6.40
75,ETSU (SoCon),13,11-2,8,51,0,6.38
76,James Madison (CAA),14,12-2,25,155,1,6.20
77,Indiana St. (MVFC),11,5-6,12,74,0,6.17
77,Northern Colo. (Big Sky),11,3-8,18,111,0,6.17
79,North Dakota (MVFC),11,5-6,11,67,0,6.09
80,Stony Brook (CAA),11,5-6,11,66,1,6.00
81,N.C. A&T (Big South),11,5-6,16,95,1,5.94
82,Idaho St. (Big Sky),11,1-10,17,100,0,5.88
83,Mississippi Val. (SWAC),11,4-7,8,46,0,5.75
84,Richmond (CAA),11,6-5,12,68,0,5.67
84,UT Martin (OVC),13,10-3,9,51,1,5.67
86,Hampton (Big South),11,5-6,9,49,0,5.44
87,Penn (Ivy League),10,3-7,16,87,1,5.44
88,New Hampshire (CAA),11,3-8,11,59,0,5.36
89,Holy Cross (Patriot),13,10-3,18,96,0,5.33
89,Maine (CAA),11,6-5,15,80,1,5.33
91,UNI (MVFC),12,6-6,30,156,0,5.20
92,Sacred Heart (NEC),12,8-4,12,62,0,5.17
93,Presbyterian (Pioneer),11,2-9,2,10,0,5.00
94,Abilene Christian (ASUN),11,5-6,11,53,0,4.82
95,Montana St. (Big Sky),15,12-3,31,148,0,4.77
96,William & Mary (CAA),11,6-5,20,94,0,4.70
97,South Dakota St. (MVFC),15,11-4,18,79,1,4.39
98,Colgate (Patriot),11,5-6,13,57,0,4.38
99,Eastern Wash. (Big Sky),13,10-3,24,104,0,4.33
99,Elon (CAA),11,6-5,12,52,0,4.33
101,Cornell (Ivy League),10,2-8,16,69,0,4.31
102,Butler (Pioneer),11,3-8,7,29,0,4.14
103,Bryant (NEC),11,7-4,16,66,0,4.12
104,Illinois St. (MVFC),11,4-7,8,32,0,4.00
105,Northern Ariz. (Big Sky),11,5-6,8,31,0,3.88
106,UAlbany (CAA),11,2-9,8,30,0,3.75
107,Southern U. (SWAC),11,4-7,4,14,0,3.50
108,Southern Utah (Big Sky),11,1-10,8,27,0,3.38
109,VMI (SoCon),11,6-5,12,40,0,3.33
110,Campbell (Big South),11,3-8,10,32,0,3.20
111,Southeastern La. (Southland),13,9-4,12,38,0,3.17
112,Missouri St. (MVFC),12,8-4,20,63,0,3.15
113,Chattanooga (SoCon),11,6-5,9,26,0,2.89
114,LIU (NEC),10,2-8,5,14,0,2.80
115,Western Ill. (MVFC),11,2-9,13,31,0,2.38
116,Morehead St. (Pioneer),11,7-4,7,16,0,2.29
117,Eastern Ky. (ASUN),11,7-4,14,26,0,1.86
118,Stetson (Pioneer),10,3-7,15,27,0,1.80
119,Davidson (Pioneer),11,8-3,4,7,0,1.75
120,Alabama A&M (SWAC),10,7-3,9,15,0,1.67
121,Nicholls (Southland),11,6-5,16,23,0,1.44
122,Drake (Pioneer),10,2-8,9,9,0,1.00
123,Fordham (Patriot),11,6-5,1,-7,0,-7.00
