Rank,Team,G,W-L,Opp Pass,Opp Int,Int Ret Yds,Int Ret TDs
1,Morehead St. (Pioneer),7,4-3,185,14,203,2
1,SFA (Southland),10,6-4,326,14,152,1
3,James Madison (CAA),8,7-1,231,12,74,0
3,South Dakota St. (MVFC),10,8-2,295,12,68,0
5,Delaware (CAA),8,7-1,174,11,67,0
5,Murray St. (OVC),7,5-2,215,11,276,4
5,Jacksonville St. (OVC),13,10-3,424,11,21,1
8,Lamar University (Southland),6,2-4,189,10,97,0
8,Southeast Mo. St. (OVC),8,4-4,248,10,155,2
10,Presbyterian (Pioneer),7,4-3,194,9,123,2
10,Southeastern La. (Southland),7,4-3,211,9,58,2
10,Weber St. (Big Sky),6,5-1,236,9,26,0
10,Austin Peay (OVC),9,4-5,283,9,52,0
10,Eastern Ky. (OVC),9,3-6,286,9,84,0
10,Central Ark. (Southland),9,5-4,297,9,141,1
10,Sam Houston (Southland),10,10-0,386,9,35,1
17,Fordham (Patriot),3,2-1,83,8,81,2
17,Furman (SoCon),7,3-4,177,8,70,0
17,Ark.-Pine Bluff (SWAC),5,4-1,195,8,118,1
17,Samford (SoCon),7,4-3,216,8,135,1
17,North Dakota (MVFC),7,5-2,219,8,124,1
17,The Citadel (SoCon),12,2-10,272,8,74,1
17,Missouri St. (MVFC),10,5-5,306,8,121,1
24,South Carolina St. (MEAC),4,3-1,113,7,15,0
24,LIU (NEC),4,2-2,138,7,123,1
24,Holy Cross (Patriot),4,3-1,148,7,94,0
24,Valparaiso (Pioneer),6,4-2,165,7,46,0
24,Eastern Wash. (Big Sky),7,5-2,186,7,173,2
24,VMI (SoCon),8,6-2,205,7,0,0
30,Bucknell (Patriot),4,2-2,121,6,70,1
30,UC Davis (Big Sky),5,3-2,172,6,21,0
30,Tennessee St. (OVC),7,2-5,196,6,18,0
30,Western Caro. (SoCon),9,1-8,241,6,136,0
34,Rhode Island (CAA),3,2-1,91,5,67,0
34,South Dakota (MVFC),4,1-3,111,5,18,0
34,Monmouth (Big South),4,3-1,125,5,28,0
34,Alabama A&M (SWAC),4,4-0,139,5,21,0
34,Sacred Heart (NEC),5,3-2,149,5,67,0
34,San Diego (Pioneer),6,4-2,153,5,6,0
34,Alabama St. (SWAC),5,2-3,160,5,21,0
34,Western Ill. (MVFC),6,1-5,161,5,30,0
34,Houston Baptist (Southland),4,1-3,164,5,119,0
34,ETSU (SoCon),6,4-2,175,5,25,0
34,Tennessee Tech (OVC),7,2-5,184,5,51,0
34,Eastern Ill. (OVC),6,1-5,200,5,113,1
34,Jackson St. (SWAC),6,3-3,201,5,42,0
34,Davidson (Pioneer),7,4-3,205,5,4,0
34,Northwestern St. (Southland),6,1-5,209,5,29,0
34,Idaho (Big Sky),6,2-4,223,5,2,0
34,Nicholls (Southland),7,4-3,233,5,52,0
34,Southern Ill. (MVFC),10,6-4,240,5,8,0
34,McNeese (Southland),7,3-4,260,5,70,0
34,North Dakota St. (MVFC),10,7-3,273,5,61,0
54,Chattanooga (SoCon),5,3-2,86,4,5,0
54,Prairie View (SWAC),3,2-1,90,4,23,0
54,Charleston So. (Big South),4,2-2,97,4,3,0
54,Duquesne (NEC),5,4-1,102,4,7,0
54,Richmond (CAA),4,3-1,105,4,17,0
54,Illinois St. (MVFC),4,1-3,130,4,6,1
54,Delaware St. (MEAC),5,2-3,144,4,41,1
54,Gardner-Webb (Big South),4,2-2,149,4,56,0
54,Elon (CAA),6,1-5,162,4,62,0
54,Butler (Pioneer),6,0-6,167,4,31,0
54,Drake (Pioneer),5,2-3,170,4,30,0
54,Youngstown St. (MVFC),7,1-6,176,4,35,0
54,Idaho St. (Big Sky),6,2-4,204,4,30,0
54,UT Martin (OVC),7,3-4,205,4,117,1
54,UIW (Southland),6,3-3,231,4,33,0
69,Montana (Big Sky),2,2-0,58,3,20,0
69,Robert Morris (Big South),3,0-3,60,3,53,0
69,Texas Southern (SWAC),2,0-2,60,3,24,0
69,Bryant (NEC),4,2-2,74,3,18,0
69,Stetson (Pioneer),4,0-4,94,3,49,0
69,Cal Poly (Big Sky),3,0-3,105,3,108,1
69,Mississippi Val. (SWAC),3,0-3,116,3,55,0
69,Villanova (CAA),4,2-2,122,3,53,0
69,Southern U. (SWAC),5,4-1,145,3,61,1
69,Northern Ariz. (Big Sky),5,3-2,194,3,76,1
69,UNI (MVFC),7,3-4,203,3,34,0
69,Mercer (SoCon),11,5-6,308,3,0,0
81,Grambling (SWAC),4,0-4,97,2,23,0
81,Stony Brook (CAA),4,1-3,124,2,0,0
81,Wofford (SoCon),5,1-4,125,2,0,0
81,Southern Utah (Big Sky),6,1-5,201,2,12,0
85,Portland St. (Big Sky),1,0-1,31,1,0,0
85,Colgate (Patriot),2,0-2,46,1,0,0
85,Wagner (NEC),2,0-2,49,1,0,0
85,William & Mary (CAA),3,1-2,86,1,0,0
85,Lehigh (Patriot),3,0-3,93,1,15,0
85,Lafayette (Patriot),3,2-1,106,1,28,0
85,UAlbany (CAA),4,1-3,109,1,0,0
85,Maine (CAA),4,2-2,118,1,55,0
85,Abilene Christian (Southland),6,1-5,130,1,21,0
85,Kennesaw St. (Big South),5,4-1,141,1,75,1
