Rank,Team,G,W-L,Penalties,PYards,YPG
1,Princeton (Ivy League),10,8-2,35,274,27.40
2,Dartmouth (Ivy League),10,9-1,37,311,31.10
3,Samford (SoCon),12,5-7,43,408,34.00
4,Drake (Pioneer),11,6-5,46,398,36.18
5,Davidson (Pioneer),12,8-4,51,446,37.17
6,Furman (SoCon),13,8-5,52,485,37.31
7,Lehigh (Patriot),11,4-7,47,416,37.82
8,Delaware (CAA),12,5-7,47,458,38.17
9,Butler (Pioneer),12,3-9,59,472,39.33
10,Presbyterian (Big South),12,2-10,56,475,39.58
11,Mercer (SoCon),12,4-8,60,484,40.33
12,Lafayette (Patriot),12,4-8,61,488,40.67
13,New Hampshire (CAA),11,6-5,54,456,41.45
14,Gardner-Webb (Big South),12,3-9,60,501,41.75
15,Georgetown (Patriot),11,5-6,56,466,42.36
16,VMI (SoCon),12,5-7,61,511,42.58
16,Indiana St. (MVFC),12,5-7,57,511,42.58
18,Eastern Ill. (OVC),12,1-11,61,513,42.75
19,Monmouth (Big South),14,11-3,71,602,43.00
20,Valparaiso (Pioneer),12,1-11,58,521,43.42
21,Illinois St. (MVFC),15,10-5,72,652,43.47
22,Harvard (Ivy League),10,4-6,54,438,43.80
23,Mississippi Val. (SWAC),11,2-9,61,486,44.18
24,North Dakota (FCS Independent),12,7-5,65,538,44.83
25,UNI (MVFC),15,10-5,75,675,45.00
26,Missouri St. (MVFC),11,1-10,59,496,45.09
27,Elon (CAA),11,5-6,58,501,45.55
28,Montana St. (Big Sky),15,11-4,77,690,46.00
29,Wofford (SoCon),12,8-4,69,563,46.92
30,Villanova (CAA),13,9-4,69,611,47.00
30,Texas Southern (SWAC),11,0-11,61,517,47.00
32,Chattanooga (SoCon),12,6-6,60,568,47.33
32,Richmond (CAA),12,5-7,65,568,47.33
34,Idaho St. (Big Sky),12,3-9,58,571,47.58
35,Charleston So. (Big South),12,6-6,75,574,47.83
36,Weber St. (Big Sky),15,11-4,84,726,48.40
37,Towson (CAA),12,7-5,72,582,48.50
37,UT Martin (OVC),12,7-5,59,582,48.50
39,Tennessee Tech (OVC),12,6-6,66,588,49.00
40,Holy Cross (Patriot),13,7-6,72,643,49.46
41,Sacramento St. (Big Sky),13,9-4,69,646,49.69
42,Bucknell (Patriot),11,3-8,61,551,50.09
43,Columbia (Ivy League),10,3-7,54,503,50.30
44,Western Caro. (SoCon),12,3-9,73,608,50.67
45,Jacksonville (Pioneer),12,3-9,62,609,50.75
45,Wagner (NEC),12,1-11,77,609,50.75
47,Cornell (Ivy League),10,4-6,57,508,50.80
48,Brown (Ivy League),10,2-8,61,509,50.90
49,The Citadel (SoCon),12,6-6,65,614,51.17
50,Central Ark. (Southland),13,9-4,78,668,51.38
51,South Dakota St. (MVFC),13,8-5,76,669,51.46
52,Southern Ill. (MVFC),12,7-5,63,627,52.25
53,Fordham (Patriot),12,4-8,80,628,52.33
54,Albany (NY) (CAA),14,9-5,91,733,52.36
55,Howard (MEAC),12,2-10,79,631,52.58
56,James Madison (CAA),16,14-2,83,843,52.69
57,Northern Colo. (Big Sky),12,2-10,73,633,52.75
58,Penn (Ivy League),10,5-5,68,528,52.80
59,Western Ill. (MVFC),12,1-11,83,637,53.08
60,Stetson (Pioneer),11,7-4,69,589,53.55
61,ETSU (SoCon),12,3-9,63,646,53.83
62,Colgate (Patriot),12,4-8,72,648,54.00
63,SFA (Southland),12,3-9,71,652,54.33
64,Cal Poly (Big Sky),11,3-8,63,598,54.36
65,North Dakota St. (MVFC),16,16-0,97,871,54.44
66,Robert Morris (NEC),12,7-5,69,655,54.58
67,Dayton (Pioneer),11,8-3,60,602,54.73
68,Nicholls (Southland),14,9-5,88,778,55.57
69,William & Mary (CAA),12,5-7,76,674,56.17
70,Morgan St. (MEAC),12,3-9,75,676,56.33
71,UC Davis (Big Sky),12,5-7,79,685,57.08
