Rank,Team,G,W-L,Penalties,PYards,YPG
72,Northern Ariz. (Big Sky),12,4-8,72,689,57.42
73,Bryant (NEC),12,4-8,85,696,58.00
74,Kennesaw St. (Big South),14,11-3,83,815,58.21
75,Montana (Big Sky),14,10-4,76,823,58.79
76,Yale (Ivy League),10,9-1,66,588,58.80
77,Duquesne (NEC),11,6-5,71,651,59.18
78,Eastern Ky. (OVC),12,7-5,74,717,59.75
78,Rhode Island (CAA),12,2-10,87,717,59.75
80,Murray St. (OVC),12,4-8,78,720,60.00
81,Alabama A&M (SWAC),12,7-5,92,728,60.67
82,South Carolina St. (MEAC),11,8-3,76,672,61.09
83,Lamar University (Southland),12,4-8,77,735,61.25
84,Tennessee St. (OVC),12,3-9,95,746,62.17
85,LIU (NEC),10,0-10,68,622,62.20
86,Abilene Christian (Southland),12,5-7,86,763,63.58
87,Alabama St. (SWAC),11,5-6,74,705,64.09
88,Ark.-Pine Bluff (SWAC),11,6-5,75,712,64.73
89,Marist (Pioneer),11,4-7,82,714,64.91
90,Youngstown St. (MVFC),12,6-6,77,782,65.17
90,Jacksonville St. (OVC),12,6-6,81,782,65.17
92,Saint Francis (PA) (NEC),12,6-6,77,786,65.50
93,Portland St. (Big Sky),12,5-7,91,804,67.00
94,Northwestern St. (Southland),12,3-9,81,806,67.17
95,Southern U. (SWAC),13,8-5,88,874,67.23
96,Southeastern La. (Southland),13,8-5,98,877,67.46
97,Morehead St. (Pioneer),12,5-7,85,819,68.25
98,Central Conn. St. (NEC),13,11-2,93,894,68.77
99,Southern Utah (Big Sky),12,3-9,89,828,69.00
100,Southeast Mo. St. (OVC),13,9-4,97,907,69.77
101,Alcorn (SWAC),13,9-4,108,912,70.15
102,N.C. A&T (MEAC),12,9-3,95,852,71.00
103,Stony Brook (CAA),12,5-7,91,859,71.58
104,San Diego (Pioneer),12,9-3,87,890,74.17
105,Jackson St. (SWAC),12,4-8,103,896,74.67
106,Campbell (Big South),11,6-5,94,823,74.82
107,Idaho (Big Sky),12,5-7,104,911,75.92
108,Sacred Heart (NEC),12,7-5,93,913,76.08
109,South Dakota (MVFC),12,5-7,94,925,77.08
110,Norfolk St. (MEAC),12,5-7,99,929,77.42
111,Grambling (SWAC),11,6-5,84,852,77.45
112,Sam Houston (Southland),12,7-5,100,931,77.58
113,Eastern Wash. (Big Sky),12,7-5,98,940,78.33
114,Hampton (Big South),12,5-7,104,942,78.50
115,McNeese (Southland),12,7-5,107,979,81.58
116,Bethune-Cookman (MEAC),11,7-4,94,918,83.45
117,UIW (Southland),12,5-7,112,"1,002",83.50
118,Maine (CAA),12,6-6,103,"1,003",83.58
119,Florida A&M (MEAC),11,9-2,105,938,85.27
120,N.C. Central (MEAC),12,4-8,118,"1,029",85.75
121,Austin Peay (OVC),15,11-4,134,"1,312",87.47
122,Houston Baptist (Southland),12,5-7,121,"1,073",89.42
123,Delaware St. (MEAC),12,2-10,106,"1,136",94.67
124,Prairie View (SWAC),11,6-5,126,"1,082",98.36
