Rank,Team,G,W-L,4th Conv,4th Att,Pct
1,James Madison (CAA),16,14-2,16,18,0.889
2,Wofford (SoCon),12,8-4,14,16,0.875
3,Alcorn (SWAC),13,9-4,8,10,0.8
3,Delaware (CAA),12,5-7,8,10,0.8
5,Cal Poly (Big Sky),11,3-8,20,27,0.741
6,North Dakota St. (MVFC),16,16-0,13,19,0.684
7,Samford (SoCon),12,5-7,23,34,0.676
8,N.C. A&T (MEAC),12,9-3,6,9,0.667
9,Campbell (Big South),11,6-5,18,28,0.643
10,Abilene Christian (Southland),12,5-7,16,25,0.64
11,Dayton (Pioneer),11,8-3,12,19,0.632
12,Montana St. (Big Sky),15,11-4,22,35,0.629
13,New Hampshire (CAA),11,6-5,10,16,0.625
13,Yale (Ivy League),10,9-1,10,16,0.625
15,Davidson (Pioneer),12,8-4,28,45,0.622
16,VMI (SoCon),12,5-7,18,29,0.621
16,Austin Peay (OVC),15,11-4,18,29,0.621
18,The Citadel (SoCon),12,6-6,21,34,0.618
18,Kennesaw St. (Big South),14,11-3,21,34,0.618
20,Southeastern La. (Southland),13,8-5,24,39,0.615
20,Duquesne (NEC),11,6-5,8,13,0.615
22,Jacksonville (Pioneer),12,3-9,21,35,0.6
22,Southern U. (SWAC),13,8-5,9,15,0.6
24,Western Caro. (SoCon),12,3-9,14,24,0.583
25,Lamar University (Southland),12,4-8,11,19,0.579
26,Cornell (Ivy League),10,4-6,12,21,0.571
27,Monmouth (Big South),14,11-3,17,30,0.567
28,Sam Houston (Southland),12,7-5,13,23,0.565
29,Weber St. (Big Sky),15,11-4,14,25,0.56
29,Jacksonville St. (OVC),12,6-6,14,25,0.56
29,Sacramento St. (Big Sky),13,9-4,14,25,0.56
29,Norfolk St. (MEAC),12,5-7,14,25,0.56
33,Robert Morris (NEC),12,7-5,11,20,0.55
33,Stetson (Pioneer),11,7-4,11,20,0.55
35,Eastern Ill. (OVC),12,1-11,28,51,0.549
36,Albany (NY) (CAA),14,9-5,14,26,0.538
36,Elon (CAA),11,5-6,7,13,0.538
38,Texas Southern (SWAC),11,0-11,15,28,0.536
39,Central Conn. St. (NEC),13,11-2,9,17,0.529
40,Southern Utah (Big Sky),12,3-9,20,38,0.526
41,Fordham (Patriot),12,4-8,11,21,0.524
42,Columbia (Ivy League),10,3-7,13,25,0.52
42,Portland St. (Big Sky),12,5-7,13,25,0.52
42,McNeese (Southland),12,7-5,13,25,0.52
45,Morehead St. (Pioneer),12,5-7,14,27,0.519
45,Prairie View (SWAC),11,6-5,14,27,0.519
47,UC Davis (Big Sky),12,5-7,19,38,0.5
47,Southern Ill. (MVFC),12,7-5,14,28,0.5
47,Chattanooga (SoCon),12,6-6,10,20,0.5
47,Mercer (SoCon),12,4-8,10,20,0.5
47,Wagner (NEC),12,1-11,10,20,0.5
47,Houston Baptist (Southland),12,5-7,9,18,0.5
47,Montana (Big Sky),14,10-4,9,18,0.5
47,Indiana St. (MVFC),12,5-7,8,16,0.5
47,ETSU (SoCon),12,3-9,7,14,0.5
47,Towson (CAA),12,7-5,5,10,0.5
57,Princeton (Ivy League),10,8-2,14,29,0.483
58,Penn (Ivy League),10,5-5,13,27,0.481
59,Ark.-Pine Bluff (SWAC),11,6-5,11,23,0.478
60,Villanova (CAA),13,9-4,10,21,0.476
61,Tennessee Tech (OVC),12,6-6,18,38,0.474
61,Furman (SoCon),13,8-5,9,19,0.474
63,San Diego (Pioneer),12,9-3,8,17,0.471
63,Maine (CAA),12,6-6,8,17,0.471
63,Tennessee St. (OVC),12,3-9,8,17,0.471
66,Northwestern St. (Southland),12,3-9,15,32,0.469
67,Dartmouth (Ivy League),10,9-1,6,13,0.462
67,South Carolina St. (MEAC),11,8-3,6,13,0.462
69,Stony Brook (CAA),12,5-7,11,24,0.458
69,Delaware St. (MEAC),12,2-10,11,24,0.458
69,Bethune-Cookman (MEAC),11,7-4,11,24,0.458
69,Alabama A&M (SWAC),12,7-5,11,24,0.458
69,Presbyterian (Big South),12,2-10,11,24,0.458
74,Valparaiso (Pioneer),12,1-11,16,35,0.457
75,Butler (Pioneer),12,3-9,15,33,0.455
75,Jackson St. (SWAC),12,4-8,10,22,0.455
77,Lafayette (Patriot),12,4-8,14,31,0.452
78,Sacred Heart (NEC),12,7-5,9,20,0.45
78,Nicholls (Southland),14,9-5,9,20,0.45
78,South Dakota (MVFC),12,5-7,9,20,0.45
78,Bryant (NEC),12,4-8,9,20,0.45
78,Illinois St. (MVFC),15,10-5,9,20,0.45
83,Eastern Wash. (Big Sky),12,7-5,12,27,0.444
83,Gardner-Webb (Big South),12,3-9,12,27,0.444
83,Alabama St. (SWAC),11,5-6,8,18,0.444
86,Brown (Ivy League),10,2-8,18,41,0.439
87,William & Mary (CAA),12,5-7,13,30,0.433
88,Rhode Island (CAA),12,2-10,12,28,0.429
88,Southeast Mo. St. (OVC),13,9-4,6,14,0.429
90,Western Ill. (MVFC),12,1-11,11,26,0.423
91,Idaho (Big Sky),12,5-7,8,19,0.421
91,Georgetown (Patriot),11,5-6,8,19,0.421
93,Colgate (Patriot),12,4-8,13,31,0.419
94,Mississippi Val. (SWAC),11,2-9,12,29,0.414
94,Bucknell (Patriot),11,3-8,12,29,0.414
96,UIW (Southland),12,5-7,9,22,0.409
97,Morgan St. (MEAC),12,3-9,8,20,0.4
97,Florida A&M (MEAC),11,9-2,6,15,0.4
99,Missouri St. (MVFC),11,1-10,7,18,0.389
99,Holy Cross (Patriot),13,7-6,7,18,0.389
101,Northern Ariz. (Big Sky),12,4-8,8,21,0.381
101,SFA (Southland),12,3-9,8,21,0.381
103,Marist (Pioneer),11,4-7,6,16,0.375
103,Central Ark. (Southland),13,9-4,6,16,0.375
105,Eastern Ky. (OVC),12,7-5,10,27,0.37
106,Drake (Pioneer),11,6-5,7,19,0.368
107,Harvard (Ivy League),10,4-6,6,17,0.353
108,Northern Colo. (Big Sky),12,2-10,8,23,0.348
109,Howard (MEAC),12,2-10,11,32,0.344
110,Lehigh (Patriot),11,4-7,6,18,0.333
110,North Dakota (FCS Independent),12,7-5,6,18,0.333
110,LIU (NEC),10,0-10,5,15,0.333
110,South Dakota St. (MVFC),13,8-5,5,15,0.333
110,Youngstown St. (MVFC),12,6-6,5,15,0.333
110,UT Martin (OVC),12,7-5,4,12,0.333
110,UNI (MVFC),15,10-5,3,9,0.333
117,Murray St. (OVC),12,4-8,8,25,0.32
118,Idaho St. (Big Sky),12,3-9,6,19,0.316
119,Grambling (SWAC),11,6-5,4,13,0.308
120,Hampton (Big South),12,5-7,7,23,0.304
120,N.C. Central (MEAC),12,4-8,7,23,0.304
122,Richmond (CAA),12,5-7,3,10,0.3
123,Charleston So. (Big South),12,6-6,2,11,0.182
124,Saint Francis (PA) (NEC),12,6-6,3,18,0.167
