Rank,Team,G,W-L,4th Conv,4th Att,Pct
73,N.C. A&T (Big South),11,5-6,6,13,0.462
73,Wofford (SoCon),11,1-10,6,13,0.462
77,Eastern Ill. (OVC),11,1-10,16,35,0.457
78,Alabama St. (SWAC),11,5-6,5,11,0.455
79,Gardner-Webb (Big South),11,4-7,12,27,0.444
80,Northwestern St. (Southland),11,3-8,11,25,0.44
81,Murray St. (OVC),11,6-5,7,16,0.438
82,Lafayette (Patriot),11,3-8,9,21,0.429
82,Rhode Island (CAA),11,7-4,9,21,0.429
82,San Diego (Pioneer),11,7-4,6,14,0.429
85,Penn (Ivy League),10,3-7,8,19,0.421
86,Tennessee St. (OVC),11,5-6,5,12,0.417
87,Montana St. (Big Sky),15,12-3,7,17,0.412
87,Southern Utah (Big Sky),11,1-10,7,17,0.412
89,Idaho (Big Sky),11,4-7,9,22,0.409
89,Valparaiso (Pioneer),11,4-7,9,22,0.409
91,Bucknell (Patriot),11,1-10,12,30,0.4
91,Jacksonville St. (ASUN),11,5-6,8,20,0.4
91,New Hampshire (CAA),11,3-8,8,20,0.4
91,Nicholls (Southland),11,6-5,8,20,0.4
91,Saint Francis (PA) (NEC),11,5-6,6,15,0.4
96,Cornell (Ivy League),10,2-8,10,26,0.385
96,Abilene Christian (ASUN),11,5-6,5,13,0.385
96,Missouri St. (MVFC),12,8-4,5,13,0.385
96,Richmond (CAA),11,6-5,5,13,0.385
100,Texas Southern (SWAC),10,2-8,8,21,0.381
101,South Dakota (MVFC),12,7-5,6,16,0.375
101,Tennessee Tech (OVC),11,3-8,6,16,0.375
101,Bethune-Cookman (SWAC),11,2-9,3,8,0.375
104,Colgate (Patriot),11,5-6,7,19,0.368
105,Sam Houston (ASUN),12,11-1,8,22,0.364
105,Illinois St. (MVFC),11,4-7,4,11,0.364
105,Maine (CAA),11,6-5,4,11,0.364
108,Georgetown (Patriot),10,2-8,9,25,0.36
109,Presbyterian (Pioneer),11,2-9,29,86,0.337
110,Duquesne (NEC),10,7-3,4,12,0.333
110,Elon (CAA),11,6-5,4,12,0.333
112,Fordham (Patriot),11,6-5,4,13,0.308
113,Charleston So. (Big South),10,4-6,5,17,0.294
114,Ark.-Pine Bluff (SWAC),11,2-9,7,24,0.292
114,Florida A&M (SWAC),12,9-3,7,24,0.292
116,UNI (MVFC),12,6-6,5,18,0.278
116,Western Ill. (MVFC),11,2-9,5,18,0.278
118,Marist (Pioneer),10,5-5,5,19,0.263
119,Lehigh (Patriot),11,3-8,6,23,0.261
120,Drake (Pioneer),10,2-8,5,21,0.238
121,Jackson St. (SWAC),13,11-2,3,14,0.214
122,Lamar University (ASUN),10,1-9,3,16,0.188
123,Howard (MEAC),11,3-8,2,12,0.167
