Rank,Team,G,W-L,4th Conv,4th Att,Pct
1,Kennesaw St. (Big South),13,11-2,22,28,0.786
2,Mercer (SoCon),10,7-3,6,8,0.75
3,Alabama A&M (SWAC),10,7-3,16,22,0.727
4,Norfolk St. (MEAC),11,6-5,15,21,0.714
5,Southeastern La. (Southland),13,9-4,21,30,0.7
5,Columbia (Ivy League),10,7-3,14,20,0.7
7,Davidson (Pioneer),11,8-3,27,39,0.692
8,Houston Baptist (Southland),11,0-11,15,22,0.682
9,Brown (Ivy League),10,2-8,27,40,0.675
10,Princeton (Ivy League),10,9-1,18,27,0.667
10,Southeast Mo. St. (OVC),11,4-7,10,15,0.667
10,Delaware (CAA),11,5-6,8,12,0.667
10,Central Ark. (ASUN),11,5-6,6,9,0.667
14,Bryant (NEC),11,7-4,16,25,0.64
15,Samford (SoCon),11,4-7,15,24,0.625
15,Villanova (CAA),13,10-3,15,24,0.625
17,VMI (SoCon),11,6-5,16,26,0.615
18,McNeese (Southland),11,4-7,19,31,0.613
19,Monmouth (Big South),11,7-4,22,36,0.611
20,Western Caro. (SoCon),11,4-7,14,23,0.609
21,Furman (SoCon),11,6-5,9,15,0.6
22,Sacred Heart (NEC),12,8-4,13,22,0.591
23,Towson (CAA),11,4-7,21,36,0.583
24,William & Mary (CAA),11,6-5,11,19,0.579
25,Albany (NY) (CAA),11,2-9,15,26,0.577
26,South Carolina St. (MEAC),12,7-5,12,21,0.571
26,N.C. Central (MEAC),11,6-5,8,14,0.571
26,Chattanooga (SoCon),11,6-5,4,7,0.571
29,Alcorn (SWAC),11,6-5,17,30,0.567
29,Eastern Wash. (Big Sky),13,10-3,17,30,0.567
31,James Madison (CAA),14,12-2,9,16,0.562
31,North Dakota St. (MVFC),15,14-1,9,16,0.562
33,Prairie View (SWAC),12,7-5,14,25,0.56
34,Holy Cross (Patriot),13,10-3,15,27,0.556
34,Indiana St. (MVFC),11,5-6,10,18,0.556
34,Mississippi Val. (SWAC),11,4-7,10,18,0.556
34,Sacramento St. (Big Sky),12,9-3,10,18,0.556
38,Delaware St. (MEAC),11,5-6,17,31,0.548
39,Morehead St. (Pioneer),11,7-4,12,22,0.545
39,Weber St. (Big Sky),11,6-5,12,22,0.545
39,Dayton (Pioneer),10,6-4,6,11,0.545
39,Hampton (Big South),11,5-6,6,11,0.545
43,Wagner (NEC),11,0-11,21,39,0.538
43,Robert Morris (Big South),10,4-6,7,13,0.538
45,The Citadel (SoCon),11,4-7,22,41,0.537
46,Campbell (Big South),11,3-8,17,32,0.531
47,UIW (Southland),13,10-3,18,34,0.529
47,Idaho St. (Big Sky),11,1-10,9,17,0.529
49,Southern Ill. (MVFC),13,8-5,19,36,0.528
50,Northern Ariz. (Big Sky),11,5-6,10,19,0.526
51,Southern U. (SWAC),11,4-7,11,21,0.524
52,North Dakota (MVFC),11,5-6,12,23,0.522
52,South Dakota St. (MVFC),15,11-4,12,23,0.522
54,Northern Colo. (Big Sky),11,3-8,13,25,0.52
54,UC Davis (Big Sky),12,8-4,13,25,0.52
56,Austin Peay (OVC),11,6-5,16,32,0.5
56,Morgan St. (MEAC),11,2-9,14,28,0.5
56,UT Martin (OVC),13,10-3,11,22,0.5
56,Yale (Ivy League),10,5-5,11,22,0.5
56,ETSU (SoCon),13,11-2,7,14,0.5
56,Grambling (SWAC),11,4-7,5,10,0.5
56,Eastern Ky. (ASUN),11,7-4,4,8,0.5
63,Cal Poly (Big Sky),11,2-9,14,29,0.483
64,Portland St. (Big Sky),11,5-6,13,27,0.481
65,Stony Brook (CAA),11,5-6,10,21,0.476
66,Montana (Big Sky),13,10-3,9,19,0.474
67,Central Conn. St. (NEC),11,4-7,17,36,0.472
68,Youngstown St. (MVFC),10,3-7,8,17,0.471
69,Butler (Pioneer),11,3-8,15,32,0.469
70,Dartmouth (Ivy League),10,9-1,7,15,0.467
71,Stetson (Pioneer),10,3-7,20,43,0.465
72,SFA (ASUN),12,8-4,13,28,0.464
73,Harvard (Ivy League),10,8-2,6,13,0.462
73,LIU (NEC),10,2-8,6,13,0.462
