Rank,Team,G,W-L,Rush,Rush Yds,Yds/Rush,Rush TD,YPG
1,Davidson (Pioneer),11,8-3,641,"3,701",5.77,42,336.5
2,North Dakota St. (MVFC),15,14-1,678,"4,209",6.21,45,280.6
3,Kennesaw St. (Big South),13,11-2,728,"3,622",4.98,37,278.6
4,The Citadel (SoCon),11,4-7,676,"2,951",4.37,30,268.3
5,Nicholls (Southland),11,6-5,458,"2,714",5.93,25,246.7
6,Sam Houston (ASUN),12,11-1,476,"2,738",5.75,31,228.2
7,Montana St. (Big Sky),15,12-3,641,"3,313",5.17,25,220.9
8,ETSU (SoCon),13,11-2,517,"2,775",5.37,32,213.5
9,Norfolk St. (MEAC),11,6-5,465,"2,333",5.02,27,212.1
10,South Dakota St. (MVFC),15,11-4,553,"3,172",5.74,33,211.5
11,Sacred Heart (NEC),12,8-4,540,"2,536",4.70,19,211.3
12,Mercer (SoCon),10,7-3,433,"2,094",4.84,24,209.4
13,Wofford (SoCon),11,1-10,453,"2,295",5.07,18,208.6
14,Youngstown St. (MVFC),10,3-7,430,"2,077",4.83,21,207.7
15,UT Martin (OVC),13,10-3,506,"2,699",5.33,32,207.6
16,Chattanooga (SoCon),11,6-5,432,"2,260",5.23,28,205.5
17,William & Mary (CAA),11,6-5,450,"2,258",5.02,19,205.3
18,Holy Cross (Patriot),13,10-3,548,"2,667",4.87,32,205.2
19,Southern U. (SWAC),11,4-7,454,"2,175",4.79,22,197.7
20,Southeast Mo. St. (OVC),11,4-7,439,"2,152",4.90,21,195.6
21,Dartmouth (Ivy League),10,9-1,363,"1,937",5.34,21,193.7
22,Texas Southern (SWAC),10,2-8,371,"1,883",5.08,23,188.3
23,Murray St. (OVC),11,6-5,450,"2,028",4.51,22,184.4
24,Furman (SoCon),11,6-5,461,"2,025",4.39,21,184.1
25,Hampton (Big South),11,5-6,446,"1,948",4.37,23,177.1
26,Stony Brook (CAA),11,5-6,466,"1,937",4.16,19,176.1
27,UC Davis (Big Sky),12,8-4,471,"2,109",4.48,19,175.8
28,Butler (Pioneer),11,3-8,440,"1,920",4.36,22,174.5
29,Northern Ariz. (Big Sky),11,5-6,431,"1,901",4.41,16,172.8
30,Sacramento St. (Big Sky),12,9-3,449,"2,067",4.60,21,172.2
31,Idaho (Big Sky),11,4-7,431,"1,877",4.35,28,170.6
32,South Dakota (MVFC),12,7-5,497,"2,042",4.11,20,170.2
33,Villanova (CAA),13,10-3,456,"2,210",4.85,22,170
34,Abilene Christian (ASUN),11,5-6,370,"1,806",4.88,18,164.2
35,Harvard (Ivy League),10,8-2,384,"1,630",4.24,23,163
35,North Dakota (MVFC),11,5-6,370,"1,793",4.85,14,163
37,VMI (SoCon),11,6-5,421,"1,771",4.21,23,161
38,Southern Ill. (MVFC),13,8-5,479,"2,084",4.35,20,160.3
39,Duquesne (NEC),10,7-3,356,"1,600",4.49,14,160
