Rank,Team,G,W-L,Rush,Rush Yds,Yds/Rush,Rush TD,YPG
40,Prairie View (SWAC),12,7-5,468,"1,916",4.09,19,159.7
41,Florida A&M (SWAC),12,9-3,419,"1,910",4.56,14,159.2
42,James Madison (CAA),14,12-2,529,"2,228",4.21,16,159.1
43,Alcorn (SWAC),11,6-5,444,"1,742",3.92,16,158.4
44,Columbia (Ivy League),10,7-3,404,"1,580",3.91,18,158
45,Colgate (Patriot),11,5-6,414,"1,733",4.19,17,157.5
46,Gardner-Webb (Big South),11,4-7,358,"1,732",4.84,20,157.5
47,Eastern Wash. (Big Sky),13,10-3,483,"2,017",4.18,28,155.2
48,McNeese (Southland),11,4-7,466,"1,699",3.65,19,154.5
49,Missouri St. (MVFC),12,8-4,434,"1,844",4.25,23,153.7
50,Jacksonville St. (ASUN),11,5-6,370,"1,680",4.54,14,152.7
51,Bryant (NEC),11,7-4,378,"1,679",4.44,22,152.6
52,Stetson (Pioneer),10,3-7,383,"1,526",3.98,19,152.6
53,Western Caro. (SoCon),11,4-7,377,"1,666",4.42,16,151.5
54,Fordham (Patriot),11,6-5,330,"1,658",5.02,19,150.7
55,Northwestern St. (Southland),11,3-8,427,"1,648",3.86,14,149.8
56,Weber St. (Big Sky),11,6-5,439,"1,642",3.74,22,149.3
57,Austin Peay (OVC),11,6-5,416,"1,615",3.88,19,146.8
58,Saint Francis (PA) (NEC),11,5-6,373,"1,610",4.32,9,146.4
59,Monmouth (Big South),11,7-4,426,"1,606",3.77,19,146
60,Richmond (CAA),11,6-5,401,"1,598",3.99,14,145.3
61,Southeastern La. (Southland),13,9-4,445,"1,880",4.22,31,144.6
62,Tennessee Tech (OVC),11,3-8,403,"1,587",3.94,15,144.3
63,Mississippi Val. (SWAC),11,4-7,422,"1,580",3.74,14,143.6
64,Valparaiso (Pioneer),11,4-7,395,"1,567",3.97,23,142.5
65,Delaware St. (MEAC),11,5-6,457,"1,565",3.42,14,142.3
66,Central Ark. (ASUN),11,5-6,370,"1,560",4.22,23,141.8
67,Samford (SoCon),11,4-7,343,"1,554",4.53,27,141.3
68,UNI (MVFC),12,6-6,433,"1,686",3.89,15,140.5
69,South Carolina St. (MEAC),12,7-5,418,"1,663",3.98,17,138.6
70,Montana (Big Sky),13,10-3,498,"1,794",3.60,17,138
71,San Diego (Pioneer),11,7-4,376,"1,502",3.99,15,136.5
72,Wagner (NEC),11,0-11,491,"1,494",3.04,11,135.8
73,Eastern Ky. (ASUN),11,7-4,353,"1,486",4.21,15,135.1
74,Dayton (Pioneer),10,6-4,372,"1,348",3.62,24,134.8
75,Rhode Island (CAA),11,7-4,389,"1,469",3.78,13,133.5
76,Brown (Ivy League),10,2-8,367,"1,333",3.63,12,133.3
77,Yale (Ivy League),10,5-5,335,"1,331",3.97,16,133.1
78,N.C. Central (MEAC),11,6-5,350,"1,459",4.17,17,132.6
79,SFA (ASUN),12,8-4,414,"1,578",3.81,13,131.5
80,Lamar University (ASUN),10,1-9,409,"1,304",3.19,11,130.4
81,N.C. A&T (Big South),11,5-6,377,"1,424",3.78,14,129.5
82,Maine (CAA),11,6-5,362,"1,411",3.90,13,128.3
83,Illinois St. (MVFC),11,4-7,395,"1,403",3.55,14,127.5
84,UIW (Southland),13,10-3,359,"1,654",4.61,22,127.2
85,Princeton (Ivy League),10,9-1,408,"1,269",3.11,23,126.9
86,Portland St. (Big Sky),11,5-6,345,"1,394",4.04,19,126.7
87,Howard (MEAC),11,3-8,330,"1,393",4.22,16,126.6
88,Ark.-Pine Bluff (SWAC),11,2-9,348,"1,383",3.97,13,125.7
89,Penn (Ivy League),10,3-7,343,"1,256",3.66,14,125.6
90,Towson (CAA),11,4-7,395,"1,352",3.42,14,122.9
91,Idaho St. (Big Sky),11,1-10,413,"1,346",3.26,7,122.4
92,Central Conn. St. (NEC),11,4-7,413,"1,332",3.23,9,121.1
93,Morgan St. (MEAC),11,2-9,332,"1,326",3.99,14,120.5
94,Delaware (CAA),11,5-6,405,"1,317",3.25,13,119.7
95,Bethune-Cookman (SWAC),11,2-9,305,"1,281",4.20,15,116.5
96,Cornell (Ivy League),10,2-8,300,"1,164",3.88,12,116.4
97,Tennessee St. (OVC),11,5-6,364,"1,262",3.47,13,114.7
98,Charleston So. (Big South),10,4-6,335,"1,144",3.41,12,114.4
99,Alabama A&M (SWAC),10,7-3,315,"1,139",3.62,13,113.9
100,Grambling (SWAC),11,4-7,361,"1,239",3.43,7,112.6
101,Alabama St. (SWAC),11,5-6,363,"1,227",3.38,9,111.5
102,Campbell (Big South),11,3-8,360,"1,220",3.39,11,110.9
103,Indiana St. (MVFC),11,5-6,346,"1,214",3.51,10,110.4
104,New Hampshire (CAA),11,3-8,314,"1,208",3.85,8,109.8
105,Northern Colo. (Big Sky),11,3-8,359,"1,184",3.30,9,107.6
106,Drake (Pioneer),10,2-8,333,"1,042",3.13,9,104.2
107,LIU (NEC),10,2-8,324,"1,037",3.20,7,103.7
108,Presbyterian (Pioneer),11,2-9,324,"1,131",3.49,11,102.8
109,Morehead St. (Pioneer),11,7-4,323,"1,088",3.37,13,98.9
110,Lafayette (Patriot),11,3-8,355,"1,087",3.06,14,98.8
111,Marist (Pioneer),10,5-5,291,965,3.32,11,96.5
112,Eastern Ill. (OVC),11,1-10,335,"1,014",3.03,9,92.2
113,UAlbany (CAA),11,2-9,361,996,2.76,14,90.5
114,Elon (CAA),11,6-5,338,994,2.94,13,90.4
115,Jackson St. (SWAC),13,11-2,391,"1,145",2.93,14,88.1
116,Cal Poly (Big Sky),11,2-9,366,961,2.63,7,87.4
117,Robert Morris (Big South),10,4-6,315,832,2.64,8,83.2
118,Southern Utah (Big Sky),11,1-10,314,915,2.91,16,83.2
119,Georgetown (Patriot),10,2-8,324,800,2.47,13,80
120,Lehigh (Patriot),11,3-8,353,785,2.22,8,71.4
121,Bucknell (Patriot),11,1-10,333,779,2.34,7,70.8
122,Western Ill. (MVFC),11,2-9,278,683,2.46,9,62.1
123,Houston Baptist (Southland),11,0-11,293,627,2.14,7,57
