Rank,Team,G,W-L,KO Ret,KO Ret Yds,Kick Ret TDs,Avg
1,Montana (Big Sky),2,2-0,3,124,0,41.33
2,Ark.-Pine Bluff (SWAC),5,4-1,15,415,1,27.67
3,Valparaiso (Pioneer),6,4-2,19,500,1,26.32
4,South Dakota St. (MVFC),10,8-2,19,487,0,25.63
5,Southern Utah (Big Sky),6,1-5,17,433,0,25.47
6,UNI (MVFC),7,3-4,11,278,0,25.27
7,Bryant (NEC),4,2-2,8,199,0,24.88
8,North Dakota St. (MVFC),10,7-3,18,442,2,24.56
9,UC Davis (Big Sky),5,3-2,13,318,0,24.46
10,Northwestern St. (Southland),6,1-5,23,562,0,24.43
11,Idaho (Big Sky),6,2-4,17,414,0,24.35
12,Chattanooga (SoCon),5,3-2,6,145,0,24.17
13,SFA (Southland),10,6-4,20,478,0,23.90
14,ETSU (SoCon),6,4-2,18,429,0,23.83
15,Central Ark. (Southland),9,5-4,26,619,1,23.81
16,Southern U. (SWAC),5,4-1,18,423,1,23.50
17,North Dakota (MVFC),7,5-2,18,418,0,23.22
18,Weber St. (Big Sky),6,5-1,15,345,1,23.00
19,San Diego (Pioneer),6,4-2,19,427,0,22.47
20,Delaware (CAA),8,7-1,15,335,1,22.33
21,Stetson (Pioneer),4,0-4,21,463,0,22.05
22,Morehead St. (Pioneer),7,4-3,24,529,1,22.04
23,Eastern Ill. (OVC),6,1-5,14,308,0,22.00
23,Portland St. (Big Sky),1,0-1,2,44,0,22.00
25,UIW (Southland),6,3-3,27,593,1,21.96
26,Mercer (SoCon),11,5-6,36,784,2,21.78
27,Western Ill. (MVFC),6,1-5,15,326,1,21.73
28,Kennesaw St. (Big South),5,4-1,13,282,0,21.69
29,Bucknell (Patriot),4,2-2,13,279,0,21.46
30,South Dakota (MVFC),4,1-3,9,193,0,21.44
31,Villanova (CAA),4,2-2,13,278,0,21.38
32,Davidson (Pioneer),7,4-3,22,467,0,21.23
33,Western Caro. (SoCon),9,1-8,28,590,0,21.07
34,Nicholls (Southland),7,4-3,22,459,1,20.86
35,VMI (SoCon),8,6-2,18,372,0,20.67
36,Samford (SoCon),7,4-3,27,554,0,20.52
37,Northern Ariz. (Big Sky),5,3-2,22,450,0,20.45
38,Drake (Pioneer),5,2-3,10,203,0,20.30
39,McNeese (Southland),7,3-4,23,466,0,20.26
40,Gardner-Webb (Big South),4,2-2,17,344,0,20.24
40,Southern Ill. (MVFC),10,6-4,17,344,0,20.24
42,Eastern Ky. (OVC),9,3-6,23,464,1,20.17
43,Wofford (SoCon),5,1-4,12,242,1,20.17
44,Elon (CAA),6,1-5,19,383,0,20.16
45,Southeast Mo. St. (OVC),8,4-4,23,463,0,20.13
46,Lafayette (Patriot),3,2-1,8,161,0,20.12
47,Eastern Wash. (Big Sky),7,5-2,17,341,0,20.06
48,Prairie View (SWAC),3,2-1,9,180,0,20.00
49,Tennessee St. (OVC),7,2-5,20,399,0,19.95
50,Missouri St. (MVFC),10,5-5,31,615,1,19.84
51,Jackson St. (SWAC),6,3-3,24,464,0,19.33
52,Alabama A&M (SWAC),4,4-0,10,192,0,19.20
53,Sam Houston (Southland),10,10-0,17,323,0,19.00
53,Texas Southern (SWAC),2,0-2,9,171,0,19.00
55,Holy Cross (Patriot),4,3-1,11,208,0,18.91
56,Robert Morris (Big South),3,0-3,12,225,0,18.75
57,Butler (Pioneer),6,0-6,15,281,0,18.73
58,Lamar University (Southland),6,2-4,11,203,0,18.45
59,The Citadel (SoCon),12,2-10,24,439,0,18.29
60,Cal Poly (Big Sky),3,0-3,20,361,0,18.05
61,Delaware St. (MEAC),5,2-3,18,322,0,17.89
62,Presbyterian (Pioneer),7,4-3,22,392,1,17.82
63,James Madison (CAA),8,7-1,13,228,0,17.54
64,Sacred Heart (NEC),5,3-2,12,210,0,17.50
65,Jacksonville St. (OVC),13,10-3,21,361,0,17.19
66,Alabama St. (SWAC),5,2-3,16,272,0,17.00
66,Rhode Island (CAA),3,2-1,5,85,0,17.00
68,LIU (NEC),4,2-2,16,269,0,16.81
69,Fordham (Patriot),3,2-1,8,134,0,16.75
70,Wagner (NEC),2,0-2,3,50,0,16.67
70,William & Mary (CAA),3,1-2,6,100,0,16.67
72,Houston Baptist (Southland),4,1-3,15,248,0,16.53
73,Southeastern La. (Southland),7,4-3,22,361,0,16.41
74,Abilene Christian (Southland),6,1-5,22,358,0,16.27
75,Charleston So. (Big South),4,2-2,11,177,0,16.09
76,Campbell (Big South),4,0-4,14,225,0,16.07
77,Murray St. (OVC),7,5-2,25,401,0,16.04
78,Austin Peay (OVC),9,4-5,21,336,0,16.00
78,Idaho St. (Big Sky),6,2-4,12,192,0,16.00
80,Colgate (Patriot),2,0-2,5,79,0,15.80
81,Grambling (SWAC),4,0-4,13,202,0,15.54
82,Furman (SoCon),7,3-4,14,217,0,15.50
83,UAlbany (CAA),4,1-3,12,185,0,15.42
84,Howard (MEAC),2,0-2,7,107,0,15.29
85,Stony Brook (CAA),4,1-3,11,165,0,15.00
86,Illinois St. (MVFC),4,1-3,10,148,0,14.80
87,Lehigh (Patriot),3,0-3,7,98,0,14.00
87,Mississippi Val. (SWAC),3,0-3,14,196,0,14.00
89,Tennessee Tech (OVC),7,2-5,19,261,0,13.74
90,South Carolina St. (MEAC),4,3-1,12,158,0,13.17
91,UT Martin (OVC),7,3-4,8,104,0,13.00
92,Duquesne (NEC),5,4-1,11,142,0,12.91
93,Youngstown St. (MVFC),7,1-6,11,139,0,12.64
94,Monmouth (Big South),4,3-1,7,84,0,12.00
95,Maine (CAA),4,2-2,15,163,0,10.87
96,Richmond (CAA),4,3-1,7,73,0,10.43
97,New Hampshire (CAA),1,0-1,3,11,0,3.67
