Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,YPG
99,Bethune-Cookman (MEAC),11,7-4,672,"3,591",5.34,31,326.5
100,Alabama St. (SWAC),11,5-6,747,"3,576",4.79,32,325.1
101,Western Caro. (SoCon),12,3-9,772,"3,900",5.05,26,325
102,Gardner-Webb (Big South),12,3-9,772,"3,860",5.00,38,321.7
103,Elon (CAA),11,5-6,715,"3,524",4.93,33,320.4
104,Morgan St. (MEAC),12,3-9,762,"3,791",4.98,25,315.9
105,Western Ill. (MVFC),12,1-11,848,"3,774",4.45,27,314.5
106,Lehigh (Patriot),11,4-7,745,"3,417",4.59,18,310.6
107,Butler (Pioneer),12,3-9,758,"3,710",4.89,28,309.2
108,N.C. Central (MEAC),12,4-8,796,"3,709",4.66,24,309.1
109,Howard (MEAC),12,2-10,835,"3,628",4.34,28,302.3
110,Illinois St. (MVFC),15,10-5,913,"4,500",4.93,34,300
111,Columbia (Ivy League),10,3-7,696,"2,974",4.27,22,297.4
112,UNI (MVFC),15,10-5,914,"4,441",4.86,33,296.1
113,Presbyterian (Big South),12,2-10,749,"3,527",4.71,25,293.9
114,Colgate (Patriot),12,4-8,777,"3,507",4.51,22,292.3
115,Robert Morris (NEC),12,7-5,682,"3,488",5.11,28,290.7
116,Missouri St. (MVFC),11,1-10,737,"3,126",4.24,21,284.2
117,Delaware St. (MEAC),12,2-10,752,"3,409",4.53,26,284.1
118,Bucknell (Patriot),11,3-8,761,"3,095",4.07,16,281.4
119,Eastern Ill. (OVC),12,1-11,857,"3,316",3.87,22,276.3
120,Bryant (NEC),12,4-8,790,"3,230",4.09,21,269.2
121,Valparaiso (Pioneer),12,1-11,800,"3,110",3.89,21,259.2
122,Mississippi Val. (SWAC),11,2-9,770,"2,796",3.63,21,254.2
123,Wagner (NEC),12,1-11,704,"2,872",4.08,19,239.3
124,LIU (NEC),10,0-10,576,"2,001",3.47,11,200.1
