Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,YPG
1,Eastern Wash. (Big Sky),12,7-5,937,"6,298",6.72,61,524.8
2,Southeastern La. (Southland),13,8-5,"1,007","6,303",6.26,62,484.8
3,Northern Ariz. (Big Sky),12,4-8,879,"5,809",6.61,53,484.1
4,Prairie View (SWAC),11,6-5,782,"5,323",6.81,52,483.9
5,Yale (Ivy League),10,9-1,743,"4,828",6.50,47,482.8
6,San Diego (Pioneer),12,9-3,796,"5,700",7.16,60,475
7,Monmouth (Big South),14,11-3,997,"6,617",6.64,63,472.6
8,North Dakota St. (MVFC),16,16-0,"1,023","7,512",7.34,79,469.5
9,Dayton (Pioneer),11,8-3,706,"5,129",7.26,62,466.3
10,James Madison (CAA),16,14-2,"1,183","7,452",6.30,76,465.8
11,Sacramento St. (Big Sky),13,9-4,995,"6,033",6.06,61,464.1
12,Houston Baptist (Southland),12,5-7,942,"5,551",5.89,51,462.6
13,Alabama A&M (SWAC),12,7-5,901,"5,535",6.14,54,461.3
14,Villanova (CAA),13,9-4,886,"5,913",6.67,62,454.8
15,Brown (Ivy League),10,2-8,782,"4,545",5.81,40,454.5
16,Portland St. (Big Sky),12,5-7,908,"5,430",5.98,52,452.5
17,Ark.-Pine Bluff (SWAC),11,6-5,753,"4,877",6.48,50,443.4
18,N.C. A&T (MEAC),12,9-3,797,"5,313",6.67,55,442.8
19,Montana (Big Sky),14,10-4,"1,036","6,163",5.95,65,440.2
20,South Dakota (MVFC),12,5-7,907,"5,208",5.74,47,434
21,Davidson (Pioneer),12,8-4,864,"5,206",6.03,56,433.8
22,UC Davis (Big Sky),12,5-7,865,"5,196",6.01,42,433
23,Stetson (Pioneer),11,7-4,804,"4,745",5.90,43,431.4
24,Sam Houston (Southland),12,7-5,969,"5,136",5.30,48,428
25,Montana St. (Big Sky),15,11-4,"1,061","6,398",6.03,64,426.5
26,Maine (CAA),12,6-6,789,"5,103",6.47,41,425.3
27,Princeton (Ivy League),10,8-2,704,"4,252",6.04,44,425.2
28,Kennesaw St. (Big South),14,11-3,878,"5,908",6.73,69,422
29,Jacksonville St. (OVC),12,6-6,855,"5,033",5.89,45,419.4
30,Austin Peay (OVC),15,11-4,"1,059","6,288",5.94,66,419.2
31,Stony Brook (CAA),12,5-7,838,"5,027",6.00,36,418.9
32,Southern Ill. (MVFC),12,7-5,816,"5,023",6.16,46,418.6
33,UIW (Southland),12,5-7,928,"5,008",5.40,41,417.3
34,Texas Southern (SWAC),11,0-11,872,"4,583",5.26,29,416.6
35,Central Conn. St. (NEC),13,11-2,811,"5,407",6.67,53,415.9
36,Wofford (SoCon),12,8-4,761,"4,959",6.52,50,413.3
37,Abilene Christian (Southland),12,5-7,924,"4,952",5.36,42,412.7
38,Nicholls (Southland),14,9-5,926,"5,756",6.22,53,411.1
39,Grambling (SWAC),11,6-5,802,"4,521",5.64,36,411
40,Furman (SoCon),13,8-5,831,"5,334",6.42,55,410.3
41,Hampton (Big South),12,5-7,849,"4,887",5.76,48,407.3
41,VMI (SoCon),12,5-7,892,"4,887",5.48,45,407.3
43,Alcorn (SWAC),13,9-4,885,"5,294",5.98,55,407.2
44,Samford (SoCon),12,5-7,903,"4,844",5.36,46,403.7
45,Southern U. (SWAC),13,8-5,910,"5,245",5.76,53,403.5
46,Morehead St. (Pioneer),12,5-7,857,"4,824",5.63,43,402
47,Tennessee St. (OVC),12,3-9,841,"4,801",5.71,34,400.1
48,Florida A&M (MEAC),11,9-2,760,"4,366",5.74,45,396.9
49,Towson (CAA),12,7-5,792,"4,753",6.00,44,396.1
50,South Dakota St. (MVFC),13,8-5,774,"5,120",6.61,47,393.8
51,Penn (Ivy League),10,5-5,694,"3,931",5.66,31,393.1
52,Idaho (Big Sky),12,5-7,861,"4,699",5.46,36,391.6
53,Chattanooga (SoCon),12,6-6,836,"4,678",5.60,41,389.8
54,Rhode Island (CAA),12,2-10,829,"4,664",5.63,35,388.7
55,Jackson St. (SWAC),12,4-8,862,"4,663",5.41,38,388.6
56,Albany (NY) (CAA),14,9-5,924,"5,429",5.88,54,387.8
57,Harvard (Ivy League),10,4-6,663,"3,875",5.84,38,387.5
58,Southern Utah (Big Sky),12,3-9,914,"4,647",5.08,38,387.3
59,McNeese (Southland),12,7-5,913,"4,620",5.06,36,385
60,North Dakota (FCS Independent),12,7-5,818,"4,607",5.63,39,383.9
61,Dartmouth (Ivy League),10,9-1,598,"3,824",6.39,39,382.4
62,Central Ark. (Southland),13,9-4,881,"4,961",5.63,44,381.6
63,Northwestern St. (Southland),12,3-9,888,"4,575",5.15,40,381.3
64,Tennessee Tech (OVC),12,6-6,893,"4,561",5.11,41,380.1
65,Murray St. (OVC),12,4-8,843,"4,548",5.40,30,379
66,Youngstown St. (MVFC),12,6-6,794,"4,538",5.72,47,378.2
67,Cal Poly (Big Sky),11,3-8,791,"4,140",5.23,35,376.4
68,Idaho St. (Big Sky),12,3-9,850,"4,502",5.30,30,375.2
69,Norfolk St. (MEAC),12,5-7,812,"4,495",5.54,43,374.6
70,Campbell (Big South),11,6-5,746,"4,110",5.51,40,373.6
71,Cornell (Ivy League),10,4-6,676,"3,715",5.50,24,371.5
72,Sacred Heart (NEC),12,7-5,795,"4,431",5.57,36,369.3
73,South Carolina St. (MEAC),11,8-3,741,"4,050",5.47,38,368.2
74,The Citadel (SoCon),12,6-6,866,"4,413",5.10,45,367.8
75,Southeast Mo. St. (OVC),13,9-4,859,"4,741",5.52,42,364.7
76,Eastern Ky. (OVC),12,7-5,851,"4,370",5.14,38,364.2
77,SFA (Southland),12,3-9,902,"4,357",4.83,30,363.1
78,Lamar University (Southland),12,4-8,877,"4,355",4.97,26,362.9
79,Richmond (CAA),12,5-7,742,"4,353",5.87,29,362.8
80,Charleston So. (Big South),12,6-6,842,"4,341",5.16,30,361.8
81,Saint Francis (PA) (NEC),12,6-6,796,"4,334",5.44,38,361.2
82,Mercer (SoCon),12,4-8,801,"4,306",5.38,39,358.8
83,Fordham (Patriot),12,4-8,855,"4,286",5.01,37,357.2
84,Jacksonville (Pioneer),12,3-9,740,"4,279",5.78,38,356.6
85,Northern Colo. (Big Sky),12,2-10,845,"4,256",5.04,28,354.7
86,Holy Cross (Patriot),13,7-6,838,"4,496",5.37,35,345.8
87,Indiana St. (MVFC),12,5-7,809,"4,149",5.13,26,345.8
88,Delaware (CAA),12,5-7,762,"4,146",5.44,32,345.5
89,Georgetown (Patriot),11,5-6,709,"3,778",5.33,35,343.5
90,Drake (Pioneer),11,6-5,707,"3,773",5.34,38,343
91,Duquesne (NEC),11,6-5,772,"3,767",4.88,29,342.5
92,William & Mary (CAA),12,5-7,803,"4,091",5.09,35,340.9
93,Weber St. (Big Sky),15,11-4,"1,007","5,091",5.06,48,339.4
94,Marist (Pioneer),11,4-7,682,"3,707",5.44,27,337
95,New Hampshire (CAA),11,6-5,726,"3,706",5.10,23,336.9
96,ETSU (SoCon),12,3-9,742,"4,030",5.43,28,335.8
97,Lafayette (Patriot),12,4-8,783,"4,028",5.14,27,335.7
98,UT Martin (OVC),12,7-5,744,"3,984",5.35,35,332
