Rank,Team,G,W-L,Pass Att,Pass Com,Int,Pass Yds,Yds/Att,Yds/Comp,Pass TD,YPG
83,New Hampshire (CAA),1,0-1,35,20,0,128,3.66,6.40,2,128
84,Mississippi Val. (SWAC),3,0-3,88,49,2,374,4.25,7.63,1,124.7
85,Drake (Pioneer),5,2-3,108,56,5,620,5.74,11.07,6,124
86,North Dakota St. (MVFC),10,7-3,189,96,10,"1,235",6.53,12.86,9,123.5
87,Stony Brook (CAA),4,1-3,104,53,3,484,4.65,9.13,2,121
88,Lamar University (Southland),6,2-4,111,67,6,714,6.43,10.66,5,119
89,Valparaiso (Pioneer),6,4-2,136,62,5,681,5.01,10.98,4,113.5
90,Delaware St. (MEAC),5,2-3,93,48,5,537,5.77,11.19,7,107.4
91,Youngstown St. (MVFC),7,1-6,141,83,4,703,4.99,8.47,4,100.4
92,Davidson (Pioneer),7,4-3,92,51,3,676,7.35,13.25,7,96.6
93,Bryant (NEC),4,2-2,90,44,4,383,4.26,8.70,1,95.8
94,Kennesaw St. (Big South),5,4-1,36,21,2,446,12.39,21.24,4,89.2
95,Wagner (NEC),2,0-2,39,19,3,178,4.56,9.37,0,89
96,Holy Cross (Patriot),4,3-1,78,44,2,344,4.41,7.82,4,86
97,The Citadel (SoCon),12,2-10,116,40,8,593,5.11,14.82,5,49.4
