Rank,Team,G,W-L,3rd Att,3rd Conv,Pct
1,UIW (Southland),6,3-3,83,45,0.542
2,Southern U. (SWAC),5,4-1,68,36,0.529
3,Southern Ill. (MVFC),10,6-4,141,74,0.525
4,Campbell (Big South),4,0-4,61,32,0.525
5,Davidson (Pioneer),7,4-3,117,61,0.521
6,Southeastern La. (Southland),7,4-3,104,54,0.519
7,Duquesne (NEC),5,4-1,64,33,0.516
8,Houston Baptist (Southland),4,1-3,68,35,0.515
9,UC Davis (Big Sky),5,3-2,75,38,0.507
10,James Madison (CAA),8,7-1,124,60,0.484
11,Wofford (SoCon),5,1-4,71,34,0.479
12,Idaho St. (Big Sky),6,2-4,100,47,0.47
13,Montana (Big Sky),2,2-0,32,15,0.469
14,Eastern Wash. (Big Sky),7,5-2,104,48,0.462
15,Nicholls (Southland),7,4-3,100,46,0.46
16,Kennesaw St. (Big South),5,4-1,61,28,0.459
17,Sacred Heart (NEC),5,3-2,71,32,0.451
18,North Dakota (MVFC),7,5-2,87,39,0.448
19,Jackson St. (SWAC),6,3-3,85,38,0.447
20,Holy Cross (Patriot),4,3-1,56,25,0.446
20,Richmond (CAA),4,3-1,56,25,0.446
22,VMI (SoCon),8,6-2,122,54,0.443
23,Morehead St. (Pioneer),7,4-3,100,44,0.44
24,Charleston So. (Big South),4,2-2,64,28,0.438
25,Butler (Pioneer),6,0-6,83,36,0.434
26,South Dakota St. (MVFC),10,8-2,117,50,0.427
27,Sam Houston (Southland),10,10-0,143,61,0.427
28,Weber St. (Big Sky),6,5-1,80,34,0.425
29,North Dakota St. (MVFC),10,7-3,123,52,0.423
30,Villanova (CAA),4,2-2,57,24,0.421
31,Jacksonville St. (OVC),13,10-3,169,71,0.42
32,San Diego (Pioneer),6,4-2,79,33,0.418
33,Samford (SoCon),7,4-3,107,44,0.411
34,Ark.-Pine Bluff (SWAC),5,4-1,81,33,0.407
35,Mercer (SoCon),11,5-6,161,65,0.404
36,Southern Utah (Big Sky),6,1-5,83,33,0.398
37,Alabama A&M (SWAC),4,4-0,48,19,0.396
37,The Citadel (SoCon),12,2-10,192,76,0.396
39,Prairie View (SWAC),3,2-1,43,17,0.395
40,Elon (CAA),6,1-5,81,32,0.395
41,Northern Ariz. (Big Sky),5,3-2,76,30,0.395
42,Delaware St. (MEAC),5,2-3,71,28,0.394
43,Youngstown St. (MVFC),7,1-6,100,39,0.39
44,New Hampshire (CAA),1,0-1,13,5,0.385
45,Maine (CAA),4,2-2,55,21,0.382
46,Albany (NY) (CAA),4,1-3,63,24,0.381
46,UT Martin (OVC),7,3-4,105,40,0.381
48,McNeese (Southland),7,3-4,100,38,0.38
49,Fordham (Patriot),3,2-1,45,17,0.378
50,Stetson (Pioneer),4,0-4,61,23,0.377
51,Murray St. (OVC),7,5-2,93,35,0.376
52,Lafayette (Patriot),3,2-1,40,15,0.375
53,Chattanooga (SoCon),5,3-2,67,25,0.373
54,Cal Poly (Big Sky),3,0-3,51,19,0.373
55,ETSU (SoCon),6,4-2,78,29,0.372
56,Gardner-Webb (Big South),4,2-2,57,21,0.368
57,Monmouth (Big South),4,3-1,60,22,0.367
57,Valparaiso (Pioneer),6,4-2,90,33,0.367
59,Stony Brook (CAA),4,1-3,52,19,0.365
60,Idaho (Big Sky),6,2-4,96,35,0.365
61,Presbyterian (Independent),7,4-3,98,35,0.357
62,Abilene Christian (Southland),6,1-5,82,29,0.354
63,Austin Peay (OVC),9,4-5,148,52,0.351
63,William & Mary (CAA),3,1-2,37,13,0.351
65,Grambling (SWAC),4,0-4,57,20,0.351
66,Eastern Ky. (OVC),9,3-6,123,43,0.35
67,Delaware (CAA),8,7-1,115,40,0.348
68,South Carolina St. (MEAC),4,3-1,49,17,0.347
69,Furman (SoCon),7,3-4,107,37,0.346
70,Central Ark. (Southland),9,5-4,131,45,0.344
71,Tennessee Tech (OVC),7,2-5,99,34,0.343
72,Illinois St. (MVFC),4,1-3,67,23,0.343
73,Northwestern St. (Southland),6,1-5,88,30,0.341
74,Alabama St. (SWAC),5,2-3,71,24,0.338
75,SFA (Southland),10,6-4,137,46,0.336
76,Howard (MEAC),2,0-2,27,9,0.333
76,Texas Southern (SWAC),2,0-2,33,11,0.333
76,Wagner (NEC),2,0-2,24,8,0.333
79,Missouri St. (MVFC),10,5-5,151,50,0.331
80,Lamar University (Southland),6,2-4,91,30,0.33
81,South Dakota (MVFC),4,1-3,56,18,0.321
82,Southeast Mo. St. (OVC),8,4-4,106,34,0.321
83,Colgate (Patriot),2,0-2,26,8,0.308
84,Western Caro. (SoCon),9,1-8,114,35,0.307
85,UNI (MVFC),7,3-4,91,27,0.297
86,Rhode Island (CAA),3,2-1,31,9,0.29
87,Lehigh (Patriot),3,0-3,42,12,0.286
88,Tennessee St. (OVC),7,2-5,98,27,0.276
89,Drake (Pioneer),5,2-3,62,17,0.274
90,Mississippi Val. (SWAC),3,0-3,44,12,0.273
91,Bucknell (Patriot),4,2-2,58,15,0.259
92,Western Ill. (MVFC),6,1-5,82,20,0.244
93,LIU (NEC),4,2-2,48,11,0.229
94,Eastern Ill. (OVC),6,1-5,90,20,0.222
95,Bryant (NEC),4,2-2,55,12,0.218
96,Robert Morris (Horizon),3,0-3,36,6,0.167
97,Portland St. (Big Sky),1,0-1,13,2,0.154
