Rank,Team,G,W-L,Rush,Rush Yds,Yds/Rush,Rush TD,YPG
78,Cornell (Ivy League),10,4-6,358,"1,388",3.88,15,138.8
79,Montana (Big Sky),14,10-4,492,"1,942",3.95,33,138.7
80,Richmond (CAA),12,5-7,410,"1,645",4.01,14,137.1
81,Holy Cross (Patriot),13,7-6,434,"1,767",4.07,18,135.9
82,Fordham (Patriot),12,4-8,455,"1,599",3.51,17,133.3
83,UIW (Southland),12,5-7,405,"1,587",3.92,19,132.3
84,Robert Morris (NEC),12,7-5,419,"1,586",3.79,12,132.2
85,UAlbany (CAA),14,9-5,452,"1,840",4.07,13,131.4
86,Presbyterian (Big South),12,2-10,415,"1,574",3.79,14,131.2
87,Southeastern La. (Southland),13,8-5,438,"1,696",3.87,27,130.5
88,Maine (CAA),12,6-6,397,"1,545",3.89,12,128.8
89,Houston Baptist (Southland),12,5-7,348,"1,540",4.43,13,128.3
89,Howard (MEAC),12,2-10,482,"1,540",3.20,13,128.3
91,N.C. Central (MEAC),12,4-8,414,"1,512",3.65,11,126
92,UC Davis (Big Sky),12,5-7,355,"1,486",4.19,13,123.8
93,Jacksonville St. (OVC),12,6-6,400,"1,481",3.70,16,123.4
94,Northern Ariz. (Big Sky),12,4-8,376,"1,477",3.93,21,123.1
95,Colgate (Patriot),12,4-8,455,"1,471",3.23,15,122.6
96,North Dakota (FCS Independent),12,7-5,348,"1,462",4.20,18,121.8
97,Morgan St. (MEAC),12,3-9,450,"1,453",3.23,9,121.1
98,VMI (SoCon),12,5-7,385,"1,448",3.76,25,120.7
99,Murray St. (OVC),12,4-8,380,"1,440",3.79,8,120
100,Elon (CAA),11,5-6,397,"1,312",3.30,17,119.3
101,Southern Utah (Big Sky),12,3-9,455,"1,391",3.06,19,115.9
102,Lafayette (Patriot),12,4-8,405,"1,361",3.36,13,113.4
103,Alabama St. (SWAC),11,5-6,395,"1,243",3.15,10,113
104,UNI (MVFC),15,10-5,530,"1,663",3.14,13,110.9
105,UT Martin (OVC),12,7-5,397,"1,317",3.32,16,109.8
106,Columbia (Ivy League),10,3-7,378,"1,092",2.89,11,109.2
107,SFA (Southland),12,3-9,432,"1,307",3.03,14,108.9
108,Western Ill. (MVFC),12,1-11,420,"1,303",3.10,8,108.6
109,Northern Colo. (Big Sky),12,2-10,421,"1,280",3.04,12,106.7
110,Florida A&M (MEAC),11,9-2,354,"1,164",3.29,15,105.8
111,Eastern Ill. (OVC),12,1-11,408,"1,268",3.11,11,105.7
112,Marist (Pioneer),11,4-7,318,"1,155",3.63,16,105
113,Saint Francis (PA) (NEC),12,6-6,381,"1,203",3.16,10,100.3
114,Gardner-Webb (Big South),12,3-9,392,"1,194",3.05,13,99.5
115,Bryant (NEC),12,4-8,405,"1,177",2.91,13,98.1
116,Valparaiso (Pioneer),12,1-11,413,"1,159",2.81,9,96.6
117,Rhode Island (CAA),12,2-10,324,"1,109",3.42,11,92.4
118,Central Ark. (Southland),13,9-4,383,"1,154",3.01,9,88.8
119,Bucknell (Patriot),11,3-8,335,908,2.71,6,82.5
120,Northwestern St. (Southland),12,3-9,331,959,2.90,12,79.9
121,Lehigh (Patriot),11,4-7,348,850,2.44,9,77.3
122,Missouri St. (MVFC),11,1-10,334,815,2.44,5,74.1
123,LIU (NEC),10,0-10,336,605,1.80,6,60.5
124,Wagner (NEC),12,1-11,322,710,2.20,9,59.2
