Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,YPG
92,Tennessee St. (OVC),11,5-6,684,"3,502",5.12,26,318.4
93,N.C. A&T (Big South),11,5-6,666,"3,491",5.24,26,317.4
94,Central Conn. St. (NEC),11,4-7,775,"3,465",4.47,25,315
95,Southern Utah (Big Sky),11,1-10,704,"3,459",4.91,26,314.5
96,Towson (CAA),11,4-7,742,"3,437",4.63,28,312.5
97,Mississippi Val. (SWAC),11,4-7,706,"3,422",4.85,25,311.1
98,Idaho St. (Big Sky),11,1-10,758,"3,420",4.51,18,310.9
99,Valparaiso (Pioneer),11,4-7,685,"3,415",4.99,34,310.5
100,Cal Poly (Big Sky),11,2-9,778,"3,368",4.33,19,306.2
101,Tennessee Tech (OVC),11,3-8,714,"3,347",4.69,25,304.3
102,Albany (NY) (CAA),11,2-9,687,"3,335",4.85,25,303.2
103,Alabama St. (SWAC),11,5-6,700,"3,331",4.76,27,302.8
104,Penn (Ivy League),10,3-7,630,"3,013",4.78,22,301.3
105,Delaware (CAA),11,5-6,695,"3,298",4.75,25,299.8
106,Robert Morris (Big South),10,4-6,639,"2,952",4.62,23,295.2
107,Delaware St. (MEAC),11,5-6,713,"3,233",4.53,35,293.9
108,Marist (Pioneer),10,5-5,574,"2,927",5.10,27,292.7
109,Indiana St. (MVFC),11,5-6,683,"3,166",4.64,20,287.8
110,Eastern Ill. (OVC),11,1-10,733,"3,139",4.28,17,285.4
111,New Hampshire (CAA),11,3-8,646,"3,121",4.83,24,283.7
112,Lafayette (Patriot),11,3-8,667,"3,102",4.65,19,282
113,Drake (Pioneer),10,2-8,614,"2,784",4.53,17,278.4
114,Northern Colo. (Big Sky),11,3-8,719,"3,029",4.21,19,275.4
115,LIU (NEC),10,2-8,591,"2,700",4.57,17,270
116,Morgan St. (MEAC),11,2-9,650,"2,939",4.52,22,267.2
117,Houston Baptist (Southland),11,0-11,725,"2,776",3.83,20,252.4
117,Illinois St. (MVFC),11,4-7,619,"2,776",4.48,23,252.4
119,Wagner (NEC),11,0-11,716,"2,706",3.78,18,246
120,Grambling (SWAC),11,4-7,657,"2,593",3.95,17,235.7
121,Lamar University (WAC),10,1-9,581,"2,333",4.02,15,233.3
122,Lehigh (Patriot),11,3-8,668,"2,530",3.79,13,230
123,Bucknell (Patriot),11,1-10,647,"2,115",3.27,13,192.3
